inventory_id,store_id,film_id,title,rental_rate,replacement_cost,category,rental_count,total_revenue,last_rental_date
1603,2,350,Garden Island,4.99,21.99,Sci-Fi,2,10.98,2005-08-20
96,1,19,Amadeus Holy,0.99,20.99,Action,2,7.98,2005-08-21
3111,2,683,Pity Bound,4.99,19.99,Drama,2,9.98,2005-08-18
1418,1,311,Fiction Christmas,0.99,14.99,Foreign,2,4.98,2005-08-18
1577,2,346,Galaxy Sweethearts,4.99,13.99,Classics,2,19.98,2005-08-18
555,1,121,Carol Texas,2.99,15.99,Animation,2,9.98,2005-08-22
1667,1,364,Godfather Diary,2.99,14.99,New,2,9.98,2005-08-19
2694,2,591,Monsoon Cause,4.99,20.99,Games,2,9.98,2005-08-17
728,2,159,Closer Bang,4.99,12.99,Comedy,2,12.98,2005-08-18
1493,1,327,Fool Mockingbird,4.99,24.99,Action,2,13.98,2005-08-22
3643,1,795,Siege Madre,0.99,23.99,Family,2,1.98,2005-08-23
4480,1,979,Witches Panic,4.99,10.99,Drama,2,9.98,2005-08-21
2761,2,606,Mummy Creatures,0.99,15.99,Sports,2,9.98,2005-08-23
4187,2,911,Trip Newton,4.99,14.99,Action,2,10.98,2005-08-20
2677,1,587,Mod Secretary,4.99,20.99,Documentary,2,11.98,2005-08-21
2839,1,623,Newton Labyrinth,0.99,9.99,Foreign,2,5.98,2005-08-18
4541,2,991,Worst Banger,2.99,26.99,Action,2,10.98,2005-08-19
3921,1,856,Streetcar Intentions,4.99,11.99,Horror,2,9.98,2005-08-20
1678,2,366,Goldfinger Sensibility,0.99,29.99,Drama,2,5.98,2005-08-20
1461,1,320,Flamingos Connecticut,4.99,28.99,New,2,9.98,2005-08-22
222,1,50,Baked Cleopatra,2.99,20.99,Family,2,8.98,2005-08-21
2633,1,578,Million Ace,4.99,16.99,Classics,2,12.98,2005-08-21
1126,2,249,Dracula Crystal,0.99,26.99,Classics,2,2.98,2005-08-20
3585,2,784,Shanghai Tycoon,2.99,20.99,Travel,2,5.98,2005-08-20
880,2,193,Crossroads Casualties,2.99,20.99,Animation,2,8.98,2005-08-19
3144,2,690,Pond Seattle,2.99,25.99,Animation,2,5.98,2005-08-19
3787,2,829,Spinal Rocky,2.99,12.99,Family,2,5.98,2005-08-23
3715,2,812,Smoking Barbarella,0.99,13.99,Documentary,2,0.99,2006-02-14
1360,2,300,Falcon Volume,4.99,21.99,Animation,2,9.98,2005-08-22
504,1,112,Calendar Gunfight,4.99,22.99,Foreign,2,9.98,2005-08-18
3116,2,684,Pizza Jumanji,2.99,11.99,Games,2,7.98,2005-08-21
3839,1,841,Star Operation,2.99,9.99,Sports,2,5.98,2005-08-21
1664,2,363,Go Purple,0.99,12.99,Music,2,4.98,2005-08-22
2666,2,585,Mob Duffel,0.99,25.99,Drama,2,8.98,2005-08-23
18,1,4,Affair Prejudice,2.99,26.99,Horror,2,6.98,2005-08-22
3030,1,665,Patton Interview,2.99,22.99,Horror,2,9.98,2005-08-20
2616,1,574,Midnight Westward,0.99,19.99,Action,2,4.98,2005-08-19
1812,1,394,Hamlet Wisdom,2.99,21.99,Sci-Fi,2,5.98,2005-08-17
154,2,32,Apocalypse Flamingos,4.99,11.99,New,2,9.98,2005-08-23
300,1,68,Betrayed Rear,4.99,26.99,Children,2,12.98,2005-08-21
4227,1,919,Tycoon Gathering,4.99,17.99,Games,2,21.98,2005-08-23
3196,2,702,Pulp Beverly,2.99,12.99,Horror,2,12.98,2005-08-19
3667,1,803,Slacker Liaisons,4.99,29.99,Drama,2,10.98,2005-08-23
47,1,10,Aladdin Calendar,4.99,24.99,Sports,2,11.98,2005-08-19
3950,2,861,Suit Walls,4.99,12.99,Games,2,16.98,2005-08-18
689,2,150,Cider Desire,2.99,9.99,Documentary,2,6.98,2005-08-22
3163,2,694,Prejudice Oleander,4.99,15.99,Classics,2,11.98,2005-08-17
2967,2,650,Pacific Amistad,0.99,27.99,Documentary,2,1.98,2005-08-22
2759,1,606,Mummy Creatures,0.99,15.99,Sports,2,6.98,2005-08-19
2101,1,456,Inch Jet,4.99,18.99,Animation,2,9.98,2005-08-21
3850,1,843,Steel Santa,4.99,15.99,Classics,2,13.98,2005-08-21
836,1,183,Conversation Downhill,4.99,14.99,Family,2,15.98,2005-08-17
4294,1,936,Vanishing Rocky,2.99,21.99,Music,2,10.98,2005-08-20
2352,1,512,League Hellfighters,4.99,25.99,Classics,2,9.98,2005-08-20
1754,2,381,Grinch Massage,4.99,25.99,Games,2,10.98,2005-08-17
1650,1,360,Glass Dying,0.99,24.99,Action,2,1.98,2005-08-18
1968,2,429,Honey Ties,0.99,29.99,Sports,2,1.98,2005-08-19
2300,2,500,Kiss Glory,4.99,11.99,Foreign,2,13.98,2005-08-19
2842,2,623,Newton Labyrinth,0.99,9.99,Foreign,2,4.98,2005-08-19
2351,2,511,Lawrence Love,0.99,23.99,Action,2,1.98,2005-08-21
4161,1,904,Train Bunch,4.99,26.99,Horror,2,14.98,2005-08-23
4215,2,916,Turn Star,2.99,10.99,Animation,2,13.98,2005-08-18
4315,1,940,Victory Academy,0.99,19.99,Sports,2,2.98,2005-08-22
2477,2,542,Lust Lock,2.99,28.99,Action,2,5.98,2005-08-19
289,2,65,Behavior Runaway,4.99,20.99,Horror,2,15.98,2005-08-22
1104,1,245,Double Wrath,0.99,28.99,Animation,2,7.98,2005-08-19
2947,1,647,Outfield Massacre,0.99,18.99,Music,2,4.98,2005-08-23
3210,1,705,Purple Movie,2.99,9.99,Foreign,2,12.98,2005-08-18
792,1,173,Confessions Maguire,4.99,25.99,Drama,2,11.98,2005-08-20
1759,1,382,Grit Clockwork,0.99,21.99,Games,2,7.98,2005-08-18
4145,1,901,Tracy Cider,0.99,29.99,Animation,2,4.98,2005-08-20
3710,1,812,Smoking Barbarella,0.99,13.99,Documentary,2,1.98,2005-08-22
2603,2,571,Metal Armageddon,2.99,26.99,Documentary,2,11.98,2005-08-17
534,1,117,Candles Grapes,4.99,15.99,Games,2,10.98,2005-08-17
3286,1,724,Remember Diary,2.99,15.99,Family,2,8.98,2005-08-17
3327,1,732,Rings Heartbreakers,0.99,17.99,Action,2,4.98,2005-08-23
1796,1,390,Guys Falcon,4.99,20.99,Sci-Fi,2,14.98,2005-08-19
929,1,206,Dancing Fever,0.99,25.99,Documentary,2,4.98,2005-08-18
1068,1,238,Doctor Grail,2.99,29.99,Children,2,7.98,2005-08-20
347,1,77,Birds Perdition,4.99,15.99,New,2,10.98,2005-08-21
2405,1,525,Loathing Legally,0.99,29.99,Classics,2,2.98,2005-08-22
4244,2,922,Undefeated Dalmations,4.99,22.99,Horror,2,10.98,2005-08-19
4,1,1,Academy Dinosaur,0.99,20.99,Documentary,2,1.98,2005-08-21
1978,2,431,Hoosiers Birdcage,2.99,12.99,Foreign,2,9.98,2005-08-17
1159,2,256,Drop Waterfront,4.99,20.99,Sports,2,9.98,2005-08-22
1010,2,226,Destiny Saturday,4.99,20.99,New,2,9.98,2005-08-18
3925,2,856,Streetcar Intentions,4.99,11.99,Horror,2,13.98,2005-08-19
325,2,72,Bill Others,2.99,12.99,Documentary,2,7.98,2005-08-17
954,2,212,Darn Forrester,4.99,14.99,Action,2,9.98,2005-08-17
572,2,124,Casper Dragonfly,4.99,16.99,Children,2,14.98,2005-08-21
2990,2,655,Panther Reds,4.99,22.99,Sci-Fi,2,10.98,2005-08-21
1436,2,314,Fight Jawbreaker,0.99,13.99,Animation,2,7.98,2005-08-19
3788,2,829,Spinal Rocky,2.99,12.99,Family,2,5.98,2005-08-21
2004,2,436,Hours Rage,0.99,14.99,New,2,5.98,2005-08-19
4035,1,879,Telegraph Voyage,4.99,20.99,Music,2,17.98,2005-08-23
3939,1,859,Sugar Wonka,4.99,20.99,Animation,2,13.98,2005-08-19
1860,1,406,Haunting Pianist,0.99,22.99,Games,2,2.98,2005-08-16
3052,1,670,Pelican Comforts,4.99,17.99,Documentary,2,10.98,2005-08-21
3862,1,845,Stepmom Dream,4.99,9.99,Foreign,2,9.98,2005-08-21
2143,2,463,Instinct Airport,2.99,21.99,Sports,2,6.98,2005-08-19
3849,1,843,Steel Santa,4.99,15.99,Classics,2,14.98,2005-08-18
2888,2,634,Odds Boogie,0.99,14.99,Family,2,3.98,2005-08-22
3394,1,745,Roses Treasure,4.99,23.99,Sports,2,9.98,2005-08-23
1635,2,357,Gilbert Pelican,0.99,13.99,Classics,2,3.98,2005-08-19
4221,2,917,Tuxedo Mile,2.99,24.99,Sports,2,11.98,2005-08-18
3099,1,681,Pirates Roxanne,0.99,20.99,Sports,2,3.98,2005-08-18
1256,1,278,Elf Murder,4.99,19.99,Music,2,10.98,2005-08-19
4235,1,921,Uncut Suicides,2.99,29.99,Music,2,5.98,2005-08-18
4047,2,880,Telemark Heartbreakers,2.99,9.99,Animation,2,8.98,2005-08-21
648,2,140,Cheaper Clyde,0.99,23.99,Sci-Fi,2,1.98,2005-08-22
3695,2,808,Sling Luke,0.99,10.99,Classics,2,2.98,2005-08-18
3720,1,814,Snatch Slipper,4.99,15.99,Comedy,2,15.98,2005-08-19
4255,1,925,United Pilot,0.99,27.99,Documentary,2,6.98,2005-08-21
60,1,12,Alaska Phantom,0.99,22.99,Music,2,2.98,2005-08-20
4074,1,888,Thin Sagebrush,4.99,9.99,Documentary,2,12.98,2005-08-21
2885,2,633,October Submarine,4.99,10.99,Classics,2,12.98,2005-08-19
2643,2,579,Minds Truman,4.99,22.99,Action,2,9.98,2005-08-20
2808,2,616,National Story,2.99,19.99,Documentary,2,9.98,2005-08-20
3429,2,752,Runner Madigan,0.99,27.99,Music,2,4.98,2005-08-17
3736,2,816,Snowman Rollercoaster,0.99,27.99,Animation,2,5.98,2005-08-20
32,1,7,Airplane Sierra,4.99,28.99,Comedy,2,12.98,2005-08-22
4580,2,1000,Zorro Ark,4.99,18.99,Comedy,2,16.98,2005-08-23
2456,1,536,Lovely Jingle,2.99,18.99,Classics,2,5.98,2005-08-18
2585,2,567,Meet Chocolate,2.99,26.99,Foreign,2,12.98,2005-08-22
4497,1,982,Women Dorado,0.99,23.99,Action,2,1.98,2005-08-17
4219,1,917,Tuxedo Mile,2.99,24.99,Sports,2,5.98,2005-08-18
3960,2,863,Sun Confessions,0.99,9.99,Sci-Fi,2,1.98,2005-08-20
3493,1,765,Saturn Name,4.99,18.99,Comedy,2,9.98,2005-08-23
12,2,3,Adaptation Holes,2.99,18.99,Documentary,2,5.98,2005-08-22
4551,2,993,Wrong Behavior,2.99,10.99,Children,2,5.98,2005-08-17
157,2,34,Arabia Dogma,0.99,29.99,Horror,2,1.98,2005-08-20
4489,2,980,Wizard Coldblooded,4.99,12.99,Music,2,9.98,2005-08-22
4408,2,963,Watch Tracy,0.99,12.99,Animation,2,9.98,2005-08-22
107,2,21,American Circus,4.99,17.99,Action,2,13.98,2005-08-19
1268,2,281,Encino Elf,0.99,9.99,Games,2,2.98,2005-08-23
2702,2,593,Monterey Labyrinth,0.99,13.99,Horror,2,5.98,2005-08-21
3636,1,794,Side Ark,0.99,28.99,Action,2,5.98,2005-08-21
3570,2,781,Seven Swarm,4.99,15.99,Games,2,9.98,2005-08-23
3519,1,771,Scorpion Apollo,4.99,23.99,Drama,2,13.98,2005-08-22
2586,2,567,Meet Chocolate,2.99,26.99,Foreign,2,9.98,2005-08-20
1889,1,412,Heavyweights Beast,4.99,25.99,Documentary,2,9.98,2005-08-21
3750,1,820,Sons Interview,2.99,11.99,Animation,2,10.98,2005-08-20
408,2,90,Boulevard Mob,0.99,11.99,New,2,12.98,2005-08-22
1289,1,285,English Bulworth,0.99,18.99,Sci-Fi,2,9.98,2005-08-23
1601,2,350,Garden Island,4.99,21.99,Sci-Fi,2,12.98,2005-08-22
1238,1,274,Egg Igby,2.99,20.99,Documentary,2,13.98,2005-08-21
3061,2,672,Perfect Groove,2.99,17.99,Comedy,2,7.98,2005-08-22
1485,1,326,Flying Hook,2.99,18.99,Animation,2,6.98,2005-08-20
4195,1,913,Troopers Metal,0.99,20.99,New,2,8.98,2005-08-22
3721,1,814,Snatch Slipper,4.99,15.99,Comedy,2,9.98,2005-08-20
68,2,13,Ali Forever,4.99,21.99,Horror,2,17.98,2005-08-23
3092,1,680,Pinocchio Simon,4.99,21.99,Comedy,2,14.98,2005-08-18
4200,2,913,Troopers Metal,0.99,20.99,New,2,2.98,2005-08-23
3362,1,738,Rocketeer Mother,0.99,27.99,Foreign,2,7.98,2005-08-17
4065,1,886,Theory Mermaid,0.99,9.99,Animation,2,5.98,2005-08-17
1106,2,245,Double Wrath,0.99,28.99,Animation,2,6.98,2005-08-17
3965,1,864,Sundance Invasion,0.99,21.99,Children,2,1.98,2005-08-22
3370,2,739,Rocky War,4.99,17.99,Drama,2,9.98,2005-08-22
684,1,150,Cider Desire,2.99,9.99,Documentary,2,5.98,2005-08-17
823,2,180,Conspiracy Spirit,2.99,27.99,Classics,2,5.98,2005-08-17
588,1,129,Cause Date,2.99,16.99,Documentary,2,10.98,2005-08-19
3356,2,737,Rock Instinct,0.99,28.99,Horror,2,6.98,2005-08-17
405,1,90,Boulevard Mob,0.99,11.99,New,2,7.98,2005-08-19
3732,1,816,Snowman Rollercoaster,0.99,27.99,Animation,2,1.98,2005-08-21
3835,1,840,Stampede Disturbing,0.99,26.99,Games,2,5.98,2005-08-19
4223,2,918,Twisted Pirates,4.99,23.99,Children,2,12.98,2005-08-20
4370,1,953,Wait Cider,0.99,9.99,Animation,2,1.98,2005-08-18
423,2,93,Brannigan Sunrise,4.99,27.99,New,2,13.98,2005-08-17
1285,2,284,Enemy Odds,4.99,23.99,Music,2,9.98,2005-08-19
1377,2,302,Fantasia Park,2.99,29.99,Games,2,5.98,2005-08-20
1861,2,406,Haunting Pianist,0.99,22.99,Games,2,1.98,2005-08-19
1065,1,237,Divorce Shining,2.99,21.99,Sports,2,8.98,2005-08-22
1583,1,347,Games Bowfinger,4.99,17.99,Travel,2,9.98,2005-08-23
1949,2,424,Holocaust Highball,0.99,12.99,Children,2,1.98,2005-08-17
4382,2,957,War Notting,4.99,26.99,Foreign,2,10.98,2005-08-21
1674,1,366,Goldfinger Sensibility,0.99,29.99,Drama,2,7.98,2005-08-17
1109,2,246,Doubtfire Labyrinth,4.99,16.99,Foreign,2,9.98,2005-08-19
4430,1,969,West Lion,4.99,29.99,Drama,2,13.98,2005-08-22
3422,2,749,Rules Human,4.99,19.99,Horror,2,13.98,2005-08-22
1329,2,293,Exorcist Sting,2.99,17.99,Sports,2,6.98,2005-08-17
4553,2,993,Wrong Behavior,2.99,10.99,Children,2,5.98,2005-08-23
2073,1,450,Idols Snatchers,2.99,29.99,Children,2,9.98,2005-08-19
67,2,13,Ali Forever,4.99,21.99,Horror,2,10.98,2005-08-22
101,1,20,Amelie Hellfighters,4.99,23.99,Music,2,14.98,2005-08-17
4512,2,985,Wonderland Christmas,4.99,19.99,Sci-Fi,2,9.98,2005-08-18
861,2,189,Creatures Shakespeare,0.99,23.99,Games,2,3.98,2005-08-21
2224,1,481,Jekyll Frogmen,2.99,22.99,New,2,13.98,2005-08-18
3175,1,697,Primary Glass,0.99,16.99,Action,2,1.98,2005-08-21
1659,1,362,Glory Tracy,2.99,13.99,Games,2,5.98,2005-08-23
1468,1,321,Flash Wars,4.99,21.99,New,2,13.98,2005-08-23
1362,2,300,Falcon Volume,4.99,21.99,Animation,2,13.98,2005-08-23
943,1,209,Darkness War,2.99,24.99,Drama,2,5.98,2005-08-18
1475,2,322,Flatliners Killer,2.99,29.99,Sports,2,7.98,2005-08-18
3977,1,867,Super Wyoming,4.99,10.99,Family,2,10.98,2005-08-17
2311,1,502,Knock Warlock,2.99,21.99,Comedy,2,5.98,2005-08-18
4077,1,889,Ties Hunger,4.99,28.99,Children,2,17.98,2005-08-23
31,2,6,Agent Truman,2.99,17.99,Foreign,2,12.98,2005-08-21
171,2,37,Arizona Bang,2.99,28.99,Classics,2,14.98,2005-08-22
3799,1,832,Splash Gump,0.99,16.99,Family,2,2.98,2005-08-18
4525,1,988,Worker Tarzan,2.99,26.99,Travel,2,6.98,2005-08-22
45,2,9,Alabama Devil,2.99,21.99,Horror,2,14.98,2005-08-17
2988,1,655,Panther Reds,4.99,22.99,Sci-Fi,2,9.98,2005-08-21
3,1,1,Academy Dinosaur,0.99,20.99,Documentary,2,1.98,2005-08-22
411,1,91,Bound Cheaper,0.99,17.99,Classics,2,5.98,2005-08-20
4505,1,983,Won Dares,2.99,18.99,Music,2,5.98,2005-08-22
305,1,69,Beverly Outlaw,2.99,21.99,Sci-Fi,2,12.98,2005-08-17
790,1,173,Confessions Maguire,4.99,25.99,Drama,2,9.98,2005-08-21
114,2,22,Amistad Midsummer,2.99,10.99,New,2,6.98,2005-08-18
966,2,215,Dawn Pond,4.99,27.99,Games,2,13.98,2005-08-19
1887,1,411,Heavenly Gun,4.99,13.99,Music,2,11.98,2005-08-19
2334,2,506,Lady Stage,4.99,14.99,Horror,2,14.98,2006-02-14
3352,1,736,Robbery Bright,0.99,21.99,Family,2,7.98,2005-08-19
3559,1,778,Secrets Paradise,4.99,24.99,Family,2,15.98,2005-08-21
4298,2,936,Vanishing Rocky,2.99,21.99,Music,2,5.98,2005-08-17
3907,2,852,Strangelove Desire,0.99,27.99,Children,2,9.98,2005-08-20
4379,1,957,War Notting,4.99,26.99,Foreign,2,9.98,2005-08-23
3539,1,774,Searchers Wait,2.99,22.99,Comedy,2,11.98,2005-08-18
2315,2,502,Knock Warlock,2.99,21.99,Comedy,2,14.98,2005-08-18
2650,2,580,Mine Titans,4.99,12.99,New,2,15.98,2005-08-21
2256,1,488,Joon Northwest,0.99,23.99,Sports,2,9.98,2005-08-17
1149,1,254,Driver Annie,2.99,11.99,Sports,2,9.98,2005-08-22
1250,1,276,Element Freddy,4.99,28.99,Comedy,2,11.98,2005-08-23
1234,2,273,Effect Gladiator,0.99,14.99,Family,2,1.98,2005-08-18
2461,2,537,Lover Truman,2.99,29.99,Classics,2,14.98,2005-08-19
1682,1,367,Goldmine Tycoon,0.99,20.99,Sci-Fi,2,5.98,2005-08-19
2673,2,586,Mockingbird Hollywood,0.99,27.99,Action,2,3.98,2005-08-21
2594,1,570,Mermaid Insects,4.99,20.99,Sports,2,13.98,2005-08-21
192,2,43,Atlantis Cause,2.99,15.99,Family,2,9.98,2005-08-17
1479,2,323,Flight Lies,4.99,22.99,Sports,2,11.98,2005-08-21
3224,1,708,Quills Bull,4.99,19.99,Documentary,2,11.98,2005-08-17
4526,1,988,Worker Tarzan,2.99,26.99,Travel,2,5.98,2005-08-22
1873,2,408,Head Stranger,4.99,28.99,Games,2,13.98,2005-08-22
1375,2,302,Fantasia Park,2.99,29.99,Games,2,7.98,2005-08-23
1346,1,296,Express Lonely,2.99,23.99,Sci-Fi,2,5.98,2005-08-17
111,1,22,Amistad Midsummer,2.99,10.99,New,2,6.98,2005-08-19
3112,2,683,Pity Bound,4.99,19.99,Drama,2,10.98,2005-08-22
2318,1,503,Kramer Chocolate,2.99,24.99,Sports,2,16.98,2005-08-20
574,2,124,Casper Dragonfly,4.99,16.99,Children,2,11.98,2005-08-18
1784,1,388,Gunfight Moon,0.99,16.99,Comedy,2,2.98,2006-02-14
3268,1,720,Redemption Comforts,2.99,20.99,New,2,6.98,2005-08-22
2869,2,629,Notorious Reunion,0.99,9.99,Documentary,2,3.98,2005-08-22
4111,1,894,Tomatoes Hellfighters,0.99,23.99,Travel,2,3.98,2005-08-17
3316,1,730,Ridgemont Submarine,0.99,28.99,New,2,11.98,2005-08-22
232,2,51,Balloon Homeward,2.99,10.99,Music,2,10.98,2005-08-17
2683,2,589,Modern Dorado,0.99,20.99,Documentary,2,6.98,2005-08-23
2782,2,610,Music Boondock,0.99,17.99,Family,2,1.98,2005-08-18
2006,1,437,House Dynamite,2.99,13.99,Family,2,5.98,2005-08-19
3561,1,778,Secrets Paradise,4.99,24.99,Family,2,13.98,2005-08-18
1891,1,412,Heavyweights Beast,4.99,25.99,Documentary,2,9.98,2005-08-18
1712,2,373,Graduate Lord,2.99,14.99,Children,2,5.98,2005-08-21
4454,1,973,Wife Turn,4.99,27.99,Documentary,2,16.98,2005-08-18
3846,2,842,State Wasteland,2.99,13.99,Games,2,5.98,2005-08-22
257,2,57,Basic Easy,2.99,18.99,Travel,2,10.98,2005-08-19
2916,1,641,Orange Grapes,0.99,21.99,Foreign,2,6.98,2005-08-21
3276,1,722,Reef Salute,0.99,26.99,Horror,2,2.98,2005-08-22
2831,1,621,Network Peak,2.99,23.99,Family,2,8.98,2005-08-20
2251,2,486,Jet Neighbors,4.99,14.99,Foreign,2,9.98,2005-08-22
3228,1,709,Racer Egg,2.99,19.99,Drama,2,5.98,2005-08-17
2210,2,478,Jaws Harry,2.99,10.99,Comedy,2,10.98,2005-08-19
3527,1,772,Sea Virgin,2.99,24.99,Drama,2,7.98,2005-08-19
3533,1,773,Seabiscuit Punk,2.99,28.99,Sports,2,8.98,2005-08-22
217,1,49,Badman Dawn,2.99,22.99,Sci-Fi,2,9.98,2005-08-23
1538,2,336,French Holiday,4.99,22.99,Documentary,2,12.98,2005-08-21
2159,1,467,Intrigue Worst,0.99,10.99,Foreign,2,1.98,2005-08-21
4353,1,949,Volcano Texas,0.99,27.99,Games,2,1.98,2006-02-14
3135,1,689,Pollock Deliverance,2.99,14.99,Foreign,2,5.98,2005-08-22
3670,2,803,Slacker Liaisons,4.99,29.99,Drama,2,9.98,2005-08-18
4123,2,896,Tootsie Pilot,0.99,10.99,Children,2,5.98,2005-08-22
693,2,151,Cincinatti Whisperer,4.99,26.99,Sci-Fi,2,9.98,2006-02-14
1517,1,331,Forward Temple,2.99,25.99,Games,2,9.98,2005-08-23
1867,1,408,Head Stranger,4.99,28.99,Games,2,14.98,2005-08-21
2236,1,484,Jerk Paycheck,2.99,13.99,Classics,2,10.98,2005-08-20
652,2,141,Chicago North,4.99,11.99,Games,2,11.98,2005-08-18
1345,1,296,Express Lonely,2.99,23.99,Sci-Fi,2,5.98,2005-08-23
2670,1,586,Mockingbird Hollywood,0.99,27.99,Action,2,5.98,2006-02-14
1320,1,292,Excitement Eve,0.99,20.99,Action,2,7.98,2005-08-21
2018,1,439,Hunchback Impossible,4.99,28.99,Drama,2,15.98,2005-08-22
4519,2,986,Wonka Sea,2.99,24.99,Animation,2,5.98,2005-08-23
396,2,88,Born Spinal,4.99,17.99,Travel,2,9.98,2005-08-23
1210,2,269,Earring Instinct,0.99,22.99,Family,2,5.98,2005-08-21
2874,2,630,Notting Speakeasy,0.99,19.99,Drama,2,1.98,2005-08-20
554,1,121,Carol Texas,2.99,15.99,Animation,2,10.98,2005-08-17
579,2,126,Casualties Encino,4.99,16.99,Action,2,15.98,2005-08-21
3781,2,828,Spiking Element,2.99,12.99,Classics,2,5.98,2005-08-18
1006,1,226,Destiny Saturday,4.99,20.99,New,2,9.98,2005-08-20
748,1,164,Coast Rainbow,0.99,20.99,Documentary,2,1.98,2005-08-23
338,2,74,Birch Antitrust,4.99,18.99,Music,2,14.98,2005-08-20
1611,2,352,Gathering Calendar,0.99,22.99,Games,2,6.98,2005-08-21
1046,2,233,Disciple Mother,0.99,17.99,Travel,2,1.98,2005-08-21
2729,1,599,Mother Oleander,0.99,20.99,Sports,2,12.98,2005-08-20
3452,1,757,Sagebrush Clueless,2.99,28.99,Documentary,2,9.98,2005-08-23
2764,2,606,Mummy Creatures,0.99,15.99,Sports,2,6.98,2006-02-14
3015,1,662,Paths Control,4.99,9.99,Drama,2,14.98,2005-08-23
1854,2,403,Harry Idaho,4.99,18.99,Drama,2,15.98,2005-08-19
1710,1,373,Graduate Lord,2.99,14.99,Children,2,5.98,2005-08-22
3285,2,723,Reign Gentlemen,2.99,29.99,Sci-Fi,2,11.98,2005-08-19
2604,1,572,Metropolis Coma,2.99,9.99,Sci-Fi,2,10.98,2005-08-17
4027,2,877,Taxi Kick,0.99,23.99,Music,2,6.98,2005-08-21
