film_id,title,category,total_copies,total_rentals,total_revenue,avg_rental_rate,turnover_rate
617,Natural Stock,Family,3,13,31.880000000000003,0.9899999999999999,4.33
290,Everyone Craft,Foreign,3,13,22.89,0.9899999999999999,4.33
604,Mulan Moon,Comedy,3,13,30.89,0.9899999999999999,4.33
577,Mile Mulan,Sports,3,13,33.89,0.9899999999999999,4.33
540,Lucky Flying,Music,3,13,32.900000000000006,2.99,4.33
303,Fantasy Troopers,Action,6,26,35.79,0.9899999999999999,4.33
96,Breaking Home,New,3,13,41.900000000000006,2.99,4.33
145,Chisum Behavior,Family,3,13,50.900000000000006,4.99,4.33
177,Connecticut Tramp,Sci-Fi,3,13,75.89,4.99,4.33
101,Brotherhood Blanket,Documentary,6,26,98.77000000000001,0.9899999999999999,4.33
202,Daddy Pittsburgh,Comedy,3,13,63.89,4.99,4.33
98,Bright Encounters,Drama,3,13,87.88,4.99,4.33
134,Champion Flatliners,Animation,3,13,62.9,4.99,4.33
838,Stagecoach Armageddon,Action,6,26,138.77,4.99,4.33
994,Wyoming Storm,New,3,13,61.89,4.99,4.33
979,Witches Panic,Drama,7,30,146.75,4.99,4.29
869,Suspects Quills,Action,7,30,118.73,2.9899999999999998,4.29
563,Massacre Usual,Games,7,30,149.75,4.99,4.29
285,English Bulworth,Sci-Fi,7,30,99.74000000000001,0.99,4.29
450,Idols Snatchers,Children,7,30,88.76,2.9899999999999998,4.29
374,Graffiti Love,Sci-Fi,7,30,67.74000000000001,0.99,4.29
333,Freaky Pocus,Music,4,17,43.86,2.99,4.25
717,Rear Trading,Action,4,17,27.85,0.99,4.25
103,Bucket Brotherhood,Travel,8,34,150.72,4.99,4.25
561,Mask Peach,New,4,17,49.86,2.99,4.25
58,Beach Heartbreakers,Documentary,4,17,55.86,2.99,4.25
265,Dying Maker,Comedy,4,17,83.85000000000001,4.99,4.25
552,Majestic Floats,Documentary,4,17,36.85,0.99,4.25
878,Teen Apollo,Travel,4,17,109.86,4.99,4.25
169,Comforts Rush,Travel,4,17,69.85,2.99,4.25
510,Lawless Vision,Animation,4,17,76.86,4.99,4.25
70,Bikini Borrowers,Animation,4,17,79.86,4.99,4.25
348,Gandhi Kwai,Family,4,17,16.87,0.99,4.25
626,Noon Papi,Children,4,17,60.85,2.99,4.25
398,Hanover Galaxy,Music,4,17,81.86,4.99,4.25
299,Factory Dragon,Travel,4,17,30.85,0.99,4.25
308,Ferris Mother,Comedy,4,17,70.85000000000001,2.99,4.25
854,Strangers Graffiti,Horror,4,17,104.86,4.99,4.25
776,Secret Groundhog,Documentary,5,21,105.81,4.99,4.2
807,Sleuth Orient,Games,5,21,48.81,0.99,4.2
806,Sleepy Japanese,New,5,21,76.83,2.99,4.2
242,Doom Dancing,Comedy,5,21,58.83,0.99,4.2
727,Resurrection Silverado,Family,5,21,24.810000000000002,0.99,4.2
920,Unbreakable Karate,New,5,21,76.81,0.99,4.2
164,Coast Rainbow,Documentary,5,21,37.82,0.99,4.2
354,Ghost Groundhog,Children,5,21,107.81,4.99,4.2
83,Blues Instinct,Family,5,21,75.82000000000001,2.99,4.2
602,Mourning Purple,Sci-Fi,5,21,39.81,0.99,4.2
637,Open African,Sci-Fi,5,21,103.81,4.99,4.2
138,Chariots Conspiracy,Sci-Fi,5,21,65.81,2.99,4.2
23,Anaconda Confessions,Animation,5,21,51.82000000000001,0.99,4.2
55,Barbarella Streetcar,Sci-Fi,6,25,84.78,2.99,4.17
387,Gun Bonnie,Games,6,25,30.790000000000003,0.9899999999999999,4.17
571,Metal Armageddon,Documentary,6,25,88.79,2.99,4.17
545,Madness Attacks,Foreign,6,25,65.77000000000001,0.9899999999999999,4.17
791,Show Lord,Documentary,6,25,145.78,4.99,4.17
288,Escape Metropolis,Travel,6,25,74.77000000000001,2.99,4.17
417,Hills Neighbors,Action,6,25,58.79,0.9899999999999999,4.17
989,Working Microcosmos,Travel,6,25,144.78,4.99,4.17
309,Feud Frogmen,Family,6,25,31.8,0.9899999999999999,4.17
284,Enemy Odds,Music,7,29,159.75,4.99,4.14
875,Talented Homicide,Sports,7,29,34.76,0.99,4.14
941,Videotape Arsenic,Games,7,29,148.76,4.99,4.14
738,Rocketeer Mother,Foreign,8,33,97.72,0.99,4.12
111,Caddyshack Jedi,Action,4,16,46.86,0.99,4.0
817,Soldiers Evolution,Sci-Fi,2,8,36.93,4.99,4.0
140,Cheaper Clyde,Sci-Fi,5,20,30.83,0.99,4.0
855,Streak Ridgemont,Documentary,4,16,17.87,0.99,4.0
850,Story Side,Action,7,28,35.74,0.99,4.0
52,Ballroom Mockingbird,Foreign,2,8,9.93,0.99,4.0
462,Insider Arizona,Music,5,20,61.830000000000005,2.99,4.0
465,Interview Liaisons,New,5,20,110.82000000000001,4.99,4.0
131,Center Dinosaur,Classics,6,24,121.79,4.99,4.0
822,Soup Wisdom,Family,2,8,11.930000000000001,0.99,4.0
130,Celebrity Horn,Action,6,24,28.79,0.9899999999999999,4.0
382,Grit Clockwork,Games,8,32,97.72,0.99,4.0
388,Gunfight Moon,Comedy,6,24,46.79,0.9899999999999999,4.0
47,Baby Hall,Foreign,2,8,40.93,4.99,4.0
45,Attraction Newton,New,6,24,133.78,4.99,4.0
5,African Egg,Family,3,12,47.89,2.99,4.0
42,Artist Coldblooded,Sports,4,16,59.86,2.99,4.0
825,Speakeasy Date,Action,3,12,41.89,2.99,4.0
489,Juggler Hardly,Animation,8,32,86.71000000000001,0.99,4.0
865,Sunrise League,Animation,6,24,155.78,4.99,4.0
491,Jumping Wrath,Children,6,24,67.79,0.9899999999999999,4.0
990,World Leathernecks,Horror,2,8,24.92,0.99,4.0
413,Hedwig Alter,Comedy,3,12,31.900000000000002,2.99,4.0
433,Horn Working,Animation,6,24,109.77000000000001,2.99,4.0
600,Motions Details,Horror,4,16,25.87,0.99,4.0
650,Pacific Amistad,Documentary,6,24,43.81,0.9899999999999999,4.0
866,Sunset Racer,Family,2,8,11.930000000000001,0.99,4.0
480,Jeepers Wedding,Classics,4,16,70.87,2.99,4.0
490,Jumanji Blade,New,2,8,30.92,2.99,4.0
977,Window Side,Travel,3,12,50.89,2.99,4.0
728,Reunion Witches,Drama,5,20,50.82,0.99,4.0
527,Lola Agent,Horror,6,24,154.77,4.99,4.0
708,Quills Bull,Documentary,4,16,77.87,4.99,4.0
931,Valentine Vanishing,Travel,3,12,12.9,0.9899999999999999,4.0
751,Runaway Tenenbaums,New,2,8,11.93,0.99,4.0
159,Closer Bang,Comedy,7,28,152.76,4.99,4.0
166,Color Philadelphia,Classics,6,24,87.78,2.99,4.0
538,Loverboy Attacks,New,3,12,16.89,0.9899999999999999,4.0
703,Punk Divorce,Animation,2,8,41.93,4.99,4.0
719,Records Zorro,Sports,2,8,38.93,4.99,4.0
730,Ridgemont Submarine,New,8,32,110.72,0.99,4.0
749,Rules Human,Horror,4,16,78.87,4.99,4.0
805,Sleepless Monsoon,Animation,5,20,103.83,4.99,4.0
933,Vampire Whale,New,3,12,69.89,4.99,4.0
501,Kissing Dolls,Action,5,20,120.83,4.99,4.0
741,Roman Punk,Music,6,24,25.79,0.9899999999999999,4.0
928,Uptown Young,Children,3,12,29.900000000000002,2.99,4.0
926,Untouchables Sunrise,Documentary,2,8,28.93,2.99,4.0
927,Uprising Uptown,Action,4,16,45.870000000000005,2.99,4.0
809,Slipper Fidelity,Sports,4,16,24.86,0.99,4.0
766,Savannah Town,Drama,3,12,22.900000000000002,0.9899999999999999,4.0
767,Scalawag Duck,Music,8,32,157.71,4.99,4.0
496,Kick Savannah,Travel,5,20,48.83,0.99,4.0
969,West Lion,Drama,4,16,92.86,4.99,4.0
966,Wedding Apollo,Documentary,6,24,71.79,0.9899999999999999,4.0
427,Homeward Cider,Documentary,4,16,23.840000000000003,0.99,4.0
40,Army Flintstones,Documentary,4,16,36.86,0.99,4.0
951,Voyage Legally,Classics,7,28,42.75,0.99,4.0
656,Papi Necklace,Travel,2,8,27.93,0.99,4.0
581,Minority Kiss,Music,3,12,27.89,0.9899999999999999,4.0
548,Magnificent Chitty,Classics,2,8,54.92,2.99,4.0
179,Conquerer Nuts,Drama,4,16,84.87,4.99,4.0
186,Craft Outfield,Drama,4,16,18.86,0.99,4.0
876,Tarzan Videotape,Horror,2,8,40.92,2.99,4.0
718,Rebel Airport,Music,2,8,6.93,0.99,4.0
197,Crusade Honey,Sports,2,8,44.93,2.99,4.0
93,Brannigan Sunrise,New,3,12,56.91,4.99,4.0
533,Lost Bird,Foreign,3,12,50.900000000000006,2.99,4.0
551,Maiden Home,New,6,24,152.78,4.99,4.0
526,Lock Rear,Travel,4,16,42.86,2.99,4.0
331,Forward Temple,Games,8,32,102.74000000000001,2.99,4.0
523,Lights Deer,Classics,2,8,7.93,0.99,4.0
203,Daisy Menagerie,Sci-Fi,4,16,85.86,4.99,4.0
649,Oz Liaisons,Animation,6,24,87.78,2.99,4.0
260,Dude Blindness,Sports,4,16,90.87,4.99,4.0
564,Massage Image,Animation,3,12,56.89,2.99,4.0
315,Finding Anaconda,Family,3,12,26.9,0.9899999999999999,4.0
223,Desire Alien,Animation,2,8,25.92,2.99,4.0
686,Pluto Oleander,New,4,16,73.87,4.99,4.0
682,Pittsburgh Hunchback,Family,3,12,83.89,4.99,4.0
679,Pilot Hoosiers,Family,4,16,51.86,2.99,4.0
566,Maude Mod,Foreign,2,8,10.93,0.99,4.0
659,Park Citizen,Action,2,8,48.94,4.99,4.0
668,Peak Forever,Sports,5,20,94.82000000000001,4.99,4.0
678,Pickup Driving,Sports,4,16,93.85,2.99,4.0
401,Harold French,Drama,2,8,8.93,0.99,4.0
305,Fatal Haunted,New,7,28,92.77000000000001,2.9899999999999998,4.0
253,Drifter Commandments,Action,6,24,131.78,4.99,4.0
578,Million Ace,Classics,5,20,103.83000000000001,4.99,4.0
304,Fargo Gandhi,Children,6,24,94.79,2.99,4.0
956,Wanda Chamber,Games,4,16,76.86,4.99,4.0
987,Words Hunter,Music,4,16,73.86,2.99,4.0
85,Bonnie Holocaust,Documentary,4,16,31.85,0.99,4.0
576,Mighty Luck,Documentary,3,12,31.900000000000002,2.99,4.0
908,Trap Guys,Foreign,4,16,119.85,4.99,4.0
628,Northwest Polish,Sports,5,20,77.82000000000001,2.99,4.0
906,Tramp Others,Comedy,5,20,40.82,0.99,4.0
1000,Zorro Ark,Comedy,8,31,199.72,4.99,3.88
418,Hobbit Alien,Drama,8,31,68.74000000000001,0.99,3.88
31,Apache Divine,Family,8,31,160.72,4.99,3.88
973,Wife Turn,Documentary,8,31,198.73,4.99,3.88
369,Goodfellas Salute,Sci-Fi,8,31,164.75,4.99,3.88
753,Rush Goodfellas,Family,8,31,81.72,0.99,3.88
621,Network Peak,Family,8,31,116.73,2.99,3.88
135,Chance Resurrection,Sports,7,27,124.76,2.9899999999999998,3.86
367,Goldmine Tycoon,Sci-Fi,7,27,43.760000000000005,0.99,3.86
114,Camelot Vacation,Sci-Fi,7,27,93.76,0.99,3.86
349,Gangs Pride,Animation,7,27,95.78,2.9899999999999998,3.86
521,Lies Treatment,Drama,7,27,131.76,4.99,3.86
879,Telegraph Voyage,Music,7,27,215.75,4.99,3.86
715,Range Moonwalker,Family,7,27,158.76999999999998,4.99,3.86
330,Forrester Comancheros,Animation,7,27,141.74,4.99,3.86
698,Princess Giant,Documentary,7,27,121.77000000000001,2.9899999999999998,3.86
78,Blackout Private,Animation,7,27,78.77000000000001,2.9899999999999998,3.86
244,Dorado Notting,Music,7,27,140.78,4.99,3.86
228,Detective Vision,Classics,7,27,62.760000000000005,0.99,3.86
625,None Spiking,Sci-Fi,7,27,79.75,0.99,3.86
437,House Dynamite,Family,6,23,65.80000000000001,2.99,3.83
976,Wind Phantom,Games,6,23,33.79,0.9899999999999999,3.83
327,Fool Mockingbird,Action,6,23,162.79000000000002,4.99,3.83
759,Salute Apollo,New,6,23,95.80000000000001,2.99,3.83
353,Gentlemen Stage,Foreign,6,23,70.80000000000001,2.99,3.83
191,Crooked Frogmen,Children,6,23,38.790000000000006,0.9899999999999999,3.83
117,Candles Grapes,Games,6,23,111.80000000000001,4.99,3.83
504,Kwai Homeward,Drama,6,23,42.8,0.9899999999999999,3.83
494,Karate Moon,Horror,6,23,51.800000000000004,0.9899999999999999,3.83
995,Yentl Idaho,Horror,6,23,122.78999999999999,4.99,3.83
51,Balloon Homeward,Music,6,23,91.78,2.99,3.83
645,Others Soup,Travel,6,23,70.80000000000001,2.99,3.83
676,Philadelphia Wife,Sports,6,23,107.8,4.99,3.83
915,Truman Crazy,Action,6,23,104.80000000000001,4.99,3.83
608,Murder Antitrust,Children,6,23,78.79,2.99,3.83
914,Trouble Date,Travel,6,23,70.81,2.99,3.83
614,Name Detective,Games,6,23,131.78,4.99,3.83
334,Freddy Storm,Horror,6,23,115.79,4.99,3.83
747,Roxanne Rebel,Games,5,19,29.830000000000002,0.99,3.8
160,Club Graffiti,Animation,5,19,38.82,0.99,3.8
345,Gables Metropolis,Family,5,19,47.83,0.99,3.8
344,Fury Murder,Children,5,19,58.830000000000005,0.99,3.8
818,Something Duck,Drama,5,19,120.82,4.99,3.8
610,Music Boondock,Family,5,19,20.83,0.99,3.8
158,Clones Pinocchio,Music,5,19,59.830000000000005,2.99,3.8
298,Eyes Driving,Sci-Fi,5,19,68.84,2.99,3.8
560,Mars Roman,Games,5,19,30.83,0.99,3.8
663,Patient Sister,Classics,5,19,21.82,0.99,3.8
227,Details Packer,Games,5,19,128.82,4.99,3.8
479,Jedi Beneath,Family,5,19,20.82,0.99,3.8
370,Gorgeous Bingo,Children,5,19,94.83,2.99,3.8
451,Igby Maker,Travel,5,19,89.83,4.99,3.8
631,Novocaine Flight,Sports,5,19,49.82,0.99,3.8
830,Spirit Flintstones,Horror,4,15,14.860000000000001,0.99,3.75
858,Submarine Bed,Comedy,4,15,78.87,4.99,3.75
505,Labyrinth League,Children,4,15,41.870000000000005,2.99,3.75
788,Ship Wonderland,Documentary,4,15,44.86,2.99,3.75
844,Steers Armageddon,Sports,4,15,85.85,4.99,3.75
732,Rings Heartbreakers,Action,4,15,31.87,0.99,3.75
152,Circus Youth,Children,4,15,53.86,2.99,3.75
789,Shock Cabin,Foreign,8,30,96.71000000000001,2.99,3.75
421,Holiday Games,Foreign,4,15,82.85,4.99,3.75
452,Illusion Amelie,Foreign,4,15,34.870000000000005,0.99,3.75
403,Harry Idaho,Drama,8,30,177.73,4.99,3.75
446,Hysterical Grail,Sports,4,15,87.85,4.99,3.75
962,Wasteland Divine,Classics,4,15,40.88,2.99,3.75
272,Edge Kissing,Drama,4,15,79.87,4.99,3.75
615,Nash Chocolat,Animation,4,15,58.870000000000005,2.99,3.75
634,Odds Boogie,Family,4,15,19.87,0.99,3.75
896,Tootsie Pilot,Children,4,15,28.88,0.99,3.75
702,Pulp Beverly,Horror,8,30,121.74000000000001,2.99,3.75
341,Frost Head,Classics,8,30,74.72,0.99,3.75
748,Rugrats Shakespeare,Action,8,30,67.72,0.99,3.75
942,Vietnam Smoochy,Drama,4,15,21.86,0.99,3.75
795,Siege Madre,Family,4,15,16.86,0.99,3.75
532,Loser Hustler,Sports,4,15,83.86,4.99,3.75
544,Madison Trap,Documentary,4,15,64.87,2.99,3.75
109,Butterfly Chocolat,New,8,30,108.74000000000001,0.99,3.75
110,Cabin Flash,Children,4,15,39.86,0.99,3.75
137,Charade Duffel,Sci-Fi,4,15,66.87,2.99,3.75
127,Cat Coneheads,Comedy,8,30,159.73,4.99,3.75
932,Valley Packer,Comedy,4,15,49.88,0.99,3.75
68,Betrayed Rear,Children,4,15,79.87,4.99,3.75
598,Mosquito Armageddon,Sports,4,15,16.89,0.99,3.75
592,Monster Spartacus,Music,4,15,48.86,2.99,3.75
229,Devil Desire,Action,4,15,78.86,4.99,3.75
654,Panky Submarine,Games,4,15,86.88,4.99,3.75
236,Divine Resurrection,Games,4,15,64.85,2.99,3.75
239,Dogma Family,Animation,8,30,168.72,4.99,3.75
84,Boiled Dares,Travel,4,15,66.87,4.99,3.75
201,Cyclone Family,Foreign,4,15,43.870000000000005,2.99,3.75
287,Entrapment Satisfaction,Action,4,15,42.870000000000005,0.99,3.75
589,Modern Dorado,Documentary,4,15,42.88,0.99,3.75
559,Married Go,Sci-Fi,8,30,84.74000000000001,2.99,3.75
529,Lonely Elephant,Comedy,4,15,65.87,2.99,3.75
907,Translation Summer,Drama,4,15,25.87,0.99,3.75
609,Muscle Bright,Travel,8,30,86.73,2.99,3.75
588,Model Fish,Children,4,15,76.87,4.99,3.75
618,Necklace Outbreak,Drama,4,15,36.86,0.99,3.75
397,Hanky October,Sci-Fi,7,26,104.77000000000001,2.9899999999999998,3.71
970,Westward Seabiscuit,Classics,7,26,36.75,0.99,3.71
687,Pocus Pulp,Documentary,7,26,40.75,0.99,3.71
670,Pelican Comforts,Documentary,7,26,165.77,4.99,3.71
554,Malkovich Pet,Classics,7,26,75.77000000000001,2.9899999999999998,3.71
890,Tights Dawn,Sports,7,26,54.760000000000005,0.99,3.71
234,Disturbing Scarface,Sci-Fi,7,26,77.77000000000001,2.9899999999999998,3.71
263,Durham Panky,Sports,7,26,132.76,4.99,3.71
12,Alaska Phantom,Music,7,26,37.77,0.99,3.71
391,Half Outfield,Family,7,26,73.79,2.9899999999999998,3.71
181,Contact Anonymous,Travel,7,26,78.76,2.9899999999999998,3.71
167,Coma Head,Travel,7,26,122.77000000000001,4.99,3.71
901,Tracy Cider,Animation,7,26,78.76,0.99,3.71
471,Island Exorcist,Classics,7,26,76.77000000000001,2.9899999999999998,3.71
415,High Encino,Horror,6,22,117.79,2.99,3.67
428,Homicide Peach,Family,6,22,59.82000000000001,2.99,3.67
21,American Circus,Action,6,22,146.81,4.99,3.67
406,Haunting Pianist,Games,6,22,47.800000000000004,0.9899999999999999,3.67
267,Eagles Panky,New,6,22,134.81,4.99,3.67
18,Alter Victory,Animation,6,22,30.8,0.9899999999999999,3.67
252,Dream Pickup,Action,6,22,73.80000000000001,2.99,3.67
587,Mod Secretary,Documentary,3,11,48.910000000000004,4.99,3.67
89,Borrowers Bedazzled,Animation,6,22,25.8,0.9899999999999999,3.67
905,Trainspotting Strangers,Comedy,3,11,46.91,4.99,3.67
79,Blade Polish,Drama,6,22,29.810000000000002,0.9899999999999999,3.67
283,Ending Crowds,New,3,11,17.900000000000002,0.9899999999999999,3.67
627,North Tequila,Documentary,3,11,51.910000000000004,4.99,3.67
633,October Submarine,Classics,3,11,57.900000000000006,4.99,3.67
575,Midsummer Groundhog,Documentary,6,22,129.82,4.99,3.67
257,Drumline Cyclone,Travel,3,11,36.900000000000006,0.9899999999999999,3.67
651,Packer Madigan,Animation,6,22,58.8,0.9899999999999999,3.67
640,Opus Ice,Foreign,3,11,60.900000000000006,4.99,3.67
692,Potluck Mixed,Animation,3,11,43.9,2.99,3.67
75,Bird Independence,Travel,3,11,53.91,4.99,3.67
889,Ties Hunger,Children,3,11,69.91,4.99,3.67
104,Bugsy Song,Foreign,3,11,45.91,2.99,3.67
706,Queen Luke,Drama,6,22,128.79,4.99,3.67
899,Towers Hurricane,Classics,3,11,10.91,0.9899999999999999,3.67
314,Fight Jawbreaker,Animation,6,22,53.800000000000004,0.9899999999999999,3.67
322,Flatliners Killer,Sports,6,22,74.81,2.99,3.67
530,Lord Arizona,Action,3,11,39.900000000000006,2.99,3.67
700,Prix Undefeated,Family,3,11,37.900000000000006,2.99,3.67
300,Falcon Volume,Animation,6,22,106.81,4.99,3.67
306,Feathers Metal,Games,3,11,31.91,0.9899999999999999,3.67
210,Darko Dorado,Action,3,11,72.9,4.99,3.67
176,Congeniality Quest,Sports,6,22,31.810000000000002,0.9899999999999999,3.67
949,Volcano Texas,Games,6,22,32.81,0.9899999999999999,3.67
187,Cranes Reservoir,Sports,3,11,33.910000000000004,2.99,3.67
761,Santa Paris,Children,3,11,29.900000000000002,2.99,3.67
518,Liaisons Sweet,Travel,6,22,126.79,4.99,3.67
61,Beauty Grease,Drama,6,22,125.79,4.99,3.67
64,Beethoven Exorcist,Drama,3,11,16.89,0.9899999999999999,3.67
800,Sinners Atlantis,Horror,6,22,60.81,2.99,3.67
509,Language Cowboy,Children,3,11,18.9,0.9899999999999999,3.67
60,Beast Hunchback,Classics,3,11,69.9,4.99,3.67
853,Stranger Strangers,Children,3,11,65.9,4.99,3.67
782,Shakespeare Saddle,Sports,6,22,76.80000000000001,2.99,3.67
772,Sea Virgin,Drama,6,22,84.81,2.99,3.67
848,Stone Fire,Travel,3,11,32.900000000000006,0.9899999999999999,3.67
831,Spirited Casualties,Sci-Fi,3,11,18.9,0.9899999999999999,3.67
819,Song Hedwig,Music,3,11,31.900000000000002,0.9899999999999999,3.67
469,Iron Moon,Classics,3,11,50.9,4.99,3.67
46,Autumn Crow,Games,3,11,74.9,4.99,3.67
25,Angels Life,New,6,22,103.80000000000001,2.99,3.67
15,Alien Center,Foreign,6,22,84.8,2.99,3.67
972,Whisperer Giant,Sci-Fi,6,22,141.8,4.99,3.67
849,Storm Happiness,Animation,8,29,42.74,0.99,3.62
595,Moon Bunch,Foreign,8,29,35.74,0.99,3.62
301,Family Sweet,Horror,8,29,60.73,0.99,3.62
73,Bingo Talented,Sci-Fi,8,29,119.75,2.99,3.62
945,Virginian Pluto,Documentary,8,29,47.75000000000001,0.99,3.62
361,Gleaming Jawbreaker,Sports,8,29,125.72,2.99,3.62
220,Deer Virginian,Music,8,29,78.76,2.99,3.62
893,Titans Jerk,Sci-Fi,8,29,186.73000000000002,4.99,3.62
873,Sweethearts Suspects,Children,8,29,93.73,0.99,3.62
174,Confidential Interview,Music,8,29,136.76,4.99,3.62
378,Greatest North,Music,8,29,103.73,2.99,3.62
86,Boogie Amelie,Music,8,29,140.74,4.99,3.62
383,Groove Fiction,Sports,5,18,40.830000000000005,0.99,3.6
871,Sweden Shining,Comedy,5,18,101.83,4.99,3.6
746,Rouge Squad,Games,5,18,51.84,0.99,3.6
155,Cleopatra Devil,New,5,18,27.85,0.99,3.6
212,Darn Forrester,Action,5,18,87.83,4.99,3.6
432,Hope Tootsie,Classics,5,18,72.83000000000001,2.99,3.6
967,Weekend Personal,Sci-Fi,5,18,71.83000000000001,2.99,3.6
463,Instinct Airport,Sports,5,18,69.83,2.99,3.6
473,Jacket Frisco,Drama,5,18,71.84,2.99,3.6
410,Heaven Freedom,Comedy,5,18,49.85,2.99,3.6
184,Core Suit,Classics,5,18,92.84,2.99,3.6
286,Enough Raging,Travel,5,18,51.84,2.99,3.6
251,Dragonfly Strangers,New,5,18,80.86,4.99,3.6
254,Driver Annie,Sports,5,18,62.84,2.99,3.6
583,Mission Zoolander,Animation,5,18,110.84,4.99,3.6
385,Groundhog Uncut,Comedy,5,18,78.86,4.99,3.6
924,Unforgiven Zoolander,Sci-Fi,5,18,22.84,0.99,3.6
56,Barefoot Manchurian,Action,5,18,59.830000000000005,2.99,3.6
294,Expecations Natural,Travel,5,18,101.83000000000001,4.99,3.6
247,Downhill Enough,Comedy,7,25,72.79,0.99,3.57
555,Mallrats United,Comedy,7,25,70.78,0.99,3.57
644,Oscar Gold,Animation,7,25,83.75,2.9899999999999998,3.57
624,Nightmare Chill,Games,7,25,148.79,4.99,3.57
319,Fish Opus,Sci-Fi,7,25,94.78,2.9899999999999998,3.57
786,Shepherd Midsummer,Children,7,25,28.77,0.99,3.57
162,Clueless Bucket,Action,7,25,105.77000000000001,2.9899999999999998,3.57
172,Coneheads Smoochy,Drama,7,25,131.76,4.99,3.57
863,Sun Confessions,Sci-Fi,7,25,50.77,0.99,3.57
