title,category,rental_rate,replacement_cost,total_rentals,total_revenue,revenue_per_rental
Stranger Strangers,Children,4.99,12.99,11,65.9,5.9909
Raging Airplane,Sci-Fi,4.99,18.99,13,77.88,5.9908
Frisco Forrest,Sci-Fi,4.99,23.99,9,53.91,5.99
Alabama Devil,Horror,2.99,21.99,12,71.88,5.99
Bubble Grosse,Sports,4.99,20.99,6,35.94,5.99
Frontier Cabin,New,4.99,14.99,6,35.94,5.99
School Jacket,Foreign,4.99,21.99,6,35.94,5.99
Nuts Ties,New,4.99,10.99,9,53.91,5.99
Nightmare Chill,Games,4.99,25.99,25,148.79,5.9516
Steel Santa,Classics,4.99,15.99,23,136.78,5.947
Scarface Bang,Children,4.99,11.99,18,106.84,5.9356
Poseidon Forever,Sports,4.99,29.99,17,100.83,5.9312
Mermaid Insects,Sports,4.99,20.99,16,94.85,5.9281
Harry Idaho,Drama,4.99,18.99,30,177.73,5.9243
Tuxedo Mile,Sports,2.99,24.99,13,76.87,5.9131
Midsummer Groundhog,Documentary,4.99,27.99,22,129.82,5.9009
Calendar Gunfight,Foreign,4.99,22.99,21,123.82,5.8962
Smile Earring,Travel,2.99,29.99,10,58.9,5.89
Range Moonwalker,Family,4.99,25.99,27,158.77,5.8804
Galaxy Sweethearts,Classics,4.99,13.99,18,105.84,5.88
Guys Falcon,Sci-Fi,4.99,20.99,9,52.92,5.88
Vanilla Day,Games,4.99,20.99,9,52.91,5.8789
Velvet Terminator,Comedy,4.99,14.99,26,152.77,5.8758
Confused Candles,Family,2.99,27.99,17,99.84,5.8729
Pickup Driving,Sports,2.99,23.99,16,93.85,5.8656
Grosse Wonderful,Music,4.99,19.99,8,46.92,5.865
Flamingos Connecticut,New,4.99,28.99,23,134.78,5.86
Hysterical Grail,Sports,4.99,19.99,15,87.85,5.8567
Queen Luke,Drama,4.99,22.99,22,128.79,5.8541
Eve Resurrection,New,4.99,25.99,7,40.93,5.8471
Clue Grail,Music,4.99,27.99,7,40.93,5.8471
Moonwalker Fool,Games,4.99,12.99,13,75.89,5.8377
Connecticut Tramp,Sci-Fi,4.99,20.99,13,75.89,5.8377
Show Lord,Documentary,4.99,24.99,25,145.78,5.8312
Vampire Whale,New,4.99,11.99,12,69.89,5.8242
West Lion,Drama,4.99,29.99,16,92.86,5.8038
Panky Submarine,Games,4.99,19.99,15,86.88,5.792
Hunchback Impossible,Drama,4.99,28.99,20,115.83,5.7915
Working Microcosmos,Travel,4.99,22.99,25,144.78,5.7912
Lambs Cincinatti,Games,4.99,18.99,10,57.9,5.79
Shawshank Bubble,Travel,4.99,20.99,19,109.81,5.7795
Peach Innocent,Sports,2.99,20.99,14,80.86,5.7757
Easy Gladiator,Action,4.99,12.99,23,132.8,5.7739
Tourist Pelican,Sports,4.99,18.99,22,126.81,5.7641
Kiss Glory,Foreign,4.99,11.99,22,126.79,5.7632
Liaisons Sweet,Travel,4.99,15.99,22,126.79,5.7632
Casper Dragonfly,Children,4.99,16.99,8,45.93,5.7413
Destiny Saturday,New,4.99,20.99,16,91.85,5.7406
Flight Lies,Sports,4.99,22.99,12,68.88,5.74
Name Detective,Games,4.99,11.99,23,131.78,5.7296
Aladdin Calendar,Sports,4.99,24.99,23,131.77,5.7291
Steers Armageddon,Sports,4.99,16.99,15,85.85,5.7233
Beauty Grease,Drama,4.99,28.99,22,125.79,5.7177
Birds Perdition,New,4.99,15.99,18,102.83,5.7128
Fire Wolves,Games,4.99,18.99,7,39.93,5.7043
Redemption Comforts,New,2.99,20.99,20,113.8,5.69
Element Freddy,Comedy,4.99,28.99,10,56.9,5.69
Dude Blindness,Sports,4.99,9.99,16,90.87,5.6794
Wizard Coldblooded,Music,4.99,12.99,16,90.85,5.6781
Liberty Magnificent,Sports,2.99,27.99,12,67.89,5.6575
Expecations Natural,Travel,4.99,26.99,18,101.83,5.6572
Sweden Shining,Comedy,4.99,19.99,18,101.83,5.6572
Jericho Mulan,Games,2.99,29.99,17,95.84,5.6376
Dogma Family,Animation,4.99,16.99,30,168.72,5.624
Crusade Honey,Sports,2.99,27.99,8,44.93,5.6163
Pure Runner,Comedy,2.99,25.99,16,89.85,5.6156
Coldblooded Darling,Sci-Fi,4.99,27.99,16,89.84,5.615
Fidelity Devil,Horror,4.99,11.99,21,117.82,5.6105
Loser Hustler,Sports,4.99,28.99,15,83.86,5.5907
Panther Reds,Sci-Fi,4.99,22.99,15,83.86,5.5907
Money Harold,New,2.99,17.99,20,111.8,5.59
Informer Double,Foreign,4.99,23.99,5,27.95,5.59
French Holiday,Documentary,4.99,22.99,17,94.84,5.5788
Attraction Newton,New,4.99,14.99,24,133.78,5.5742
Dangerous Uptown,Foreign,4.99,26.99,12,66.88,5.5733
Requiem Tycoon,Classics,4.99,25.99,19,105.82,5.5695
Creepers Kane,Classics,4.99,23.99,14,77.87,5.5621
Rocky War,Drama,4.99,17.99,16,88.87,5.5544
Interview Liaisons,New,4.99,17.99,20,110.82,5.541
Prejudice Oleander,Classics,4.99,15.99,20,110.81,5.5405
Opus Ice,Foreign,4.99,21.99,11,60.9,5.5364
Cincinatti Whisperer,Sci-Fi,4.99,26.99,13,71.89,5.53
Airplane Sierra,Comedy,4.99,28.99,15,82.85,5.5233
Holiday Games,Foreign,4.99,10.99,15,82.85,5.5233
Sugar Wonka,Animation,4.99,20.99,17,93.85,5.5206
Beverly Outlaw,Sci-Fi,2.99,21.99,21,115.79,5.5138
Streetcar Intentions,Horror,4.99,11.99,25,137.77,5.5108
Enemy Odds,Music,4.99,23.99,29,159.75,5.5086
Lover Truman,Classics,2.99,29.99,10,54.91,5.491
Drifter Commandments,Action,4.99,18.99,24,131.78,5.4908
Tequila Past,Children,4.99,17.99,6,32.94,5.49
Grinch Massage,Games,4.99,25.99,14,76.86,5.49
Image Princess,Sports,2.99,17.99,14,76.86,5.49
War Notting,Foreign,4.99,26.99,12,65.88,5.49
Cause Date,Documentary,2.99,16.99,21,114.81,5.4671
Closer Bang,Comedy,4.99,12.99,28,152.76,5.4557
Saturn Name,Comedy,4.99,18.99,13,70.87,5.4515
Deep Crusade,Documentary,4.99,20.99,14,75.87,5.4193
Searchers Wait,Comedy,2.99,22.99,14,75.86,5.4186
Gunfighter Mussolini,Sports,2.99,9.99,12,64.89,5.4075
Maltese Hope,Games,4.99,26.99,22,118.79,5.3995
Human Graffiti,Games,2.99,22.99,15,80.85,5.39
Private Drop,Games,4.99,26.99,5,26.95,5.39
Heavyweights Beast,Documentary,4.99,25.99,23,123.78,5.3817
Daisy Menagerie,Sci-Fi,4.99,9.99,16,85.86,5.3663
Snatch Slipper,Comedy,4.99,15.99,22,117.8,5.3545
High Encino,Horror,2.99,23.99,22,117.79,5.3541
Trading Pinocchio,Sports,4.99,22.99,25,133.77,5.3508
Impossible Prejudice,Foreign,4.99,11.99,14,74.86,5.3471
Spice Sorority,Drama,4.99,22.99,20,106.81,5.3405
Yentl Idaho,Horror,4.99,11.99,23,122.79,5.3387
Pity Bound,Drama,4.99,19.99,26,138.77,5.3373
Stagecoach Armageddon,Action,4.99,25.99,26,138.77,5.3373
Edge Kissing,Drama,4.99,9.99,15,79.87,5.3247
Betrayed Rear,Children,4.99,26.99,15,79.87,5.3247
Reds Pocus,Music,4.99,23.99,9,47.92,5.3244
Cat Coneheads,Comedy,4.99,14.99,30,159.73,5.3243
Agent Truman,Foreign,2.99,17.99,21,111.81,5.3243
Kramer Chocolate,Sports,2.99,24.99,9,47.91,5.3233
Desperate Trainspotting,Travel,4.99,29.99,6,31.94,5.3233
Inch Jet,Animation,4.99,18.99,18,95.82,5.3233
Haunted Antitrust,Travel,4.99,13.99,6,31.94,5.3233
Goodfellas Salute,Sci-Fi,4.99,22.99,31,164.75,5.3145
Conquerer Nuts,Drama,4.99,14.99,16,84.87,5.3044
Chicago North,Games,4.99,11.99,16,84.85,5.3031
Fellowship Autumn,Travel,4.99,9.99,26,137.76,5.2985
Doubtfire Labyrinth,Foreign,4.99,16.99,10,52.91,5.291
Chasing Fight,Family,4.99,21.99,20,105.82,5.291
Reign Gentlemen,Sci-Fi,2.99,29.99,20,105.81,5.2905
Right Cranes,Classics,4.99,29.99,10,52.9,5.29
Sensibility Rear,Family,4.99,15.99,10,52.9,5.29
Early Home,Animation,4.99,27.99,7,36.94,5.2771
Outlaw Hanky,Travel,4.99,17.99,14,73.86,5.2757
Coneheads Smoochy,Drama,4.99,12.99,25,131.76,5.2704
October Submarine,Classics,4.99,10.99,11,57.9,5.2636
Submarine Bed,Comedy,4.99,21.99,15,78.87,5.258
Devil Desire,Action,4.99,12.99,15,78.86,5.2573
Forrester Comancheros,Animation,4.99,22.99,27,141.74,5.2496
Seattle Expecations,Drama,4.99,18.99,24,125.8,5.2417
Sagebrush Clueless,Documentary,2.99,28.99,16,83.86,5.2413
Punk Divorce,Animation,4.99,18.99,8,41.93,5.2413
Jerk Paycheck,Classics,2.99,13.99,20,104.81,5.2405
Hoosiers Birdcage,Foreign,2.99,12.99,8,41.92,5.24
Dorado Notting,Music,4.99,26.99,27,140.78,5.2141
Wonderful Drop,Foreign,2.99,20.99,9,46.92,5.2133
Million Ace,Classics,4.99,16.99,20,103.83,5.1915
Sleepless Monsoon,Animation,4.99,12.99,20,103.83,5.1915
Bunch Minds,Drama,2.99,13.99,5,25.95,5.19
Apache Divine,Family,4.99,16.99,31,160.72,5.1845
Casablanca Super,Travel,4.99,22.99,16,82.84,5.1775
Bowfinger Gables,Horror,4.99,19.99,11,56.89,5.1718
Fugitive Maguire,Travel,4.99,28.99,11,56.89,5.1718
Core Suit,Classics,2.99,24.99,18,92.84,5.1578
Thief Pelican,Animation,4.99,28.99,19,97.84,5.1495
Past Suicides,Foreign,4.99,17.99,13,66.88,5.1446
President Bang,Family,4.99,12.99,7,35.94,5.1343
Ghost Groundhog,Children,4.99,18.99,21,107.81,5.1338
Blindness Gun,Sci-Fi,4.99,29.99,14,71.87,5.1336
Videotape Arsenic,Games,4.99,10.99,29,148.76,5.1297
Model Fish,Children,4.99,11.99,15,76.87,5.1247
Baby Hall,Foreign,4.99,23.99,8,40.93,5.1163
Tarzan Videotape,Horror,2.99,11.99,8,40.92,5.115
Virgin Daisy,Drama,4.99,29.99,17,86.84,5.1082
Slacker Liaisons,Drama,4.99,29.99,17,86.84,5.1082
Durham Panky,Sports,4.99,14.99,26,132.76,5.1062
Brooklyn Desert,Foreign,4.99,21.99,21,106.81,5.0862
Center Dinosaur,Classics,4.99,12.99,24,121.79,5.0746
Sleeping Suspects,Horror,4.99,13.99,24,121.78,5.0742
Chamber Italian,Music,4.99,14.99,13,65.88,5.0677
Usual Untouchables,Foreign,4.99,21.99,13,65.88,5.0677
Confessions Maguire,Drama,4.99,25.99,14,70.87,5.0621
Holes Brannigan,Sports,4.99,27.99,15,75.86,5.0573
Sons Interview,Animation,2.99,11.99,15,75.85,5.0567
Secret Groundhog,Documentary,4.99,11.99,21,105.81,5.0386
Driving Polish,Music,4.99,21.99,21,105.81,5.0386
Freddy Storm,Horror,4.99,21.99,23,115.79,5.0343
Massacre Usual,Games,4.99,16.99,30,149.75,4.9917
Elf Murder,Music,4.99,19.99,7,34.94,4.9914
Darling Breaking,Games,4.99,20.99,9,44.92,4.9911
Speed Suit,Travel,4.99,19.99,9,44.92,4.9911
Gorgeous Bingo,Children,2.99,26.99,19,94.83,4.9911
Stepmom Dream,Foreign,4.99,9.99,20,99.81,4.9905
Arizona Bang,Classics,2.99,28.99,21,104.79,4.99
Hunter Alter,Documentary,2.99,21.99,5,24.95,4.99
Born Spinal,Travel,4.99,17.99,12,59.88,4.99
Traffic Hobbit,Travel,4.99,13.99,5,24.95,4.99
Lust Lock,Action,2.99,28.99,15,74.82,4.988
Strictly Scarface,Comedy,2.99,24.99,23,113.77,4.9465
Open African,Sci-Fi,4.99,16.99,21,103.81,4.9433
Candidate Perdition,Classics,2.99,10.99,18,88.82,4.9344
Dying Maker,Comedy,4.99,28.99,17,83.85,4.9324
Rules Human,Horror,4.99,19.99,16,78.87,4.9294
Scalawag Duck,Music,4.99,13.99,32,157.71,4.9284
Roses Treasure,Sports,4.99,23.99,28,137.77,4.9204
Werewolf Lola,Action,4.99,19.99,14,68.88,4.92
Daddy Pittsburgh,Comedy,4.99,26.99,13,63.89,4.9146
Bird Independence,Travel,4.99,14.99,11,53.91,4.9009
Undefeated Dalmations,Horror,4.99,22.99,21,102.81,4.8957
Madigan Dorado,Travel,4.99,20.99,10,48.92,4.892
Witches Panic,Drama,4.99,10.99,30,146.75,4.8917
Hanging Deep,Drama,4.99,18.99,19,92.85,4.8868
Lies Treatment,Drama,4.99,28.99,27,131.76,4.88
Anything Savannah,Horror,2.99,27.99,9,43.92,4.88
Drop Waterfront,Sports,4.99,20.99,9,43.92,4.88
Darn Forrester,Action,4.99,14.99,18,87.83,4.8794
Musketeers Wait,Classics,4.99,17.99,17,82.85,4.8735
Quills Bull,Documentary,4.99,19.99,16,77.87,4.8669
Records Zorro,Sports,4.99,11.99,8,38.93,4.8663
Candles Grapes,Games,4.99,15.99,23,111.8,4.8609
Falcon Volume,Animation,4.99,21.99,22,106.81,4.855
Boogie Amelie,Music,4.99,11.99,29,140.74,4.8531
Trip Newton,Action,4.99,14.99,28,135.74,4.8479
Champion Flatliners,Animation,4.99,21.99,13,62.9,4.8385
Airport Pollock,Horror,4.99,15.99,18,86.85,4.825
Temple Attraction,Horror,4.99,13.99,12,57.9,4.825
Hanover Galaxy,Music,4.99,21.99,17,81.86,4.8153
Wanda Chamber,Games,4.99,23.99,16,76.86,4.8038
Baked Cleopatra,Family,2.99,20.99,16,76.85,4.8031
Mannequin Worst,New,2.99,18.99,5,23.95,4.79
Home Pity,Music,4.99,15.99,14,66.88,4.7771
Wyoming Storm,New,4.99,29.99,13,61.89,4.7608
Orient Closer,Drama,2.99,22.99,17,80.83,4.7547
Brannigan Sunrise,New,4.99,27.99,12,56.91,4.7425
Peak Forever,Sports,4.99,25.99,20,94.82,4.741
Meet Chocolate,Foreign,2.99,26.99,12,56.89,4.7408
Massage Image,Animation,2.99,11.99,12,56.89,4.7408
Godfather Diary,New,2.99,14.99,8,37.92,4.74
Vertigo Northwest,Comedy,2.99,17.99,8,37.92,4.74
Igby Maker,Travel,4.99,12.99,19,89.83,4.7279
Coma Head,Travel,4.99,10.99,26,122.77,4.7219
North Tequila,Documentary,4.99,9.99,11,51.91,4.7191
Angels Life,New,2.99,15.99,22,103.8,4.7182
Confidential Interview,Music,4.99,13.99,29,136.76,4.7159
Heavenly Gun,Music,4.99,13.99,7,32.94,4.7057
Egg Igby,Documentary,2.99,20.99,21,98.81,4.7052
Bulworth Commandments,Games,2.99,14.99,7,32.93,4.7043
Bikini Borrowers,Animation,4.99,26.99,17,79.86,4.6976
Stage World,Comedy,2.99,19.99,10,46.9,4.69
Philadelphia Wife,Sports,4.99,16.99,23,107.8,4.687
South Wait,Action,2.99,21.99,22,102.79,4.6723
Movie Shakespeare,Family,4.99,27.99,27,125.78,4.6585
Miracle Virtual,Animation,2.99,19.99,9,41.92,4.6578
Hotel Happiness,Foreign,4.99,28.99,9,41.92,4.6578
Forrest Sons,Action,2.99,15.99,18,83.83,4.6572
Jet Neighbors,Foreign,4.99,14.99,20,92.83,4.6415
Hellfighters Sierra,Foreign,2.99,23.99,20,92.81,4.6405
Jekyll Frogmen,New,2.99,22.99,17,78.84,4.6376
Intentions Empire,Animation,2.99,13.99,17,78.83,4.6371
Elephant Trojan,Horror,4.99,24.99,14,64.9,4.6357
Iron Moon,Classics,4.99,27.99,11,50.9,4.6273
Chance Resurrection,Sports,2.99,22.99,27,124.76,4.6207
Pluto Oleander,New,4.99,9.99,16,73.87,4.6169
Soldiers Evolution,Sci-Fi,4.99,27.99,8,36.93,4.6163
Words Hunter,Music,2.99,13.99,16,73.86,4.6163
Jingle Sagebrush,Classics,4.99,29.99,13,59.89,4.6069
Lolita World,Family,2.99,25.99,10,45.91,4.591
Arachnophobia Rollercoaster,Horror,2.99,24.99,24,109.77,4.5738
Horn Working,Animation,2.99,23.99,24,109.77,4.5738
Control Anthem,Comedy,4.99,9.99,7,31.94,4.5629
Dozen Lion,Documentary,4.99,20.99,7,31.94,4.5629
Mother Oleander,Sports,0.99,20.99,14,63.87,4.5621
Wash Heavenly,Foreign,4.99,22.99,23,104.8,4.5565
Truman Crazy,Action,4.99,9.99,23,104.8,4.5565
Matrix Snowman,Foreign,4.99,9.99,9,40.92,4.5467
Platoon Instinct,New,4.99,10.99,9,40.92,4.5467
Lawless Vision,Animation,4.99,29.99,17,76.86,4.5212
Cupboard Sinners,Documentary,2.99,29.99,23,103.78,4.5122
Princess Giant,Documentary,2.99,29.99,27,121.77,4.51
Dragonfly Strangers,New,4.99,19.99,18,80.86,4.4922
Games Bowfinger,Travel,4.99,17.99,14,62.88,4.4914
Metropolis Coma,Sci-Fi,2.99,9.99,26,116.76,4.4908
Lovely Jingle,Classics,2.99,18.99,14,62.87,4.4907
Vanishing Rocky,Music,2.99,21.99,18,80.83,4.4906
Boiled Dares,Travel,4.99,13.99,15,66.87,4.458
Charade Duffel,Sci-Fi,2.99,21.99,15,66.87,4.458
Mod Secretary,Documentary,4.99,20.99,11,48.91,4.4464
Rider Caddyshack,Sports,2.99,28.99,11,48.89,4.4445
Intolerable Intentions,Documentary,4.99,20.99,9,39.93,4.4367
Legally Secretary,Children,4.99,14.99,9,39.92,4.4356
Carol Texas,Animation,2.99,15.99,18,79.83,4.435
Paradise Sabrina,Comedy,2.99,12.99,18,79.82,4.4344
Bucket Brotherhood,Travel,4.99,27.99,34,150.72,4.4329
Jeepers Wedding,Classics,2.99,29.99,16,70.87,4.4294
Lonely Elephant,Comedy,2.99,12.99,15,65.87,4.3913
Groundhog Uncut,Comedy,4.99,26.99,18,78.86,4.3811
Opposite Necklace,Family,4.99,9.99,13,56.89,4.3762
Identity Lover,Sci-Fi,2.99,12.99,13,56.88,4.3754
Gleaming Jawbreaker,Sports,2.99,25.99,29,125.72,4.3352
Madison Trap,Documentary,2.99,11.99,15,64.87,4.3247
Divine Resurrection,Games,2.99,19.99,15,64.85,4.3233
Campus Remember,Action,2.99,27.99,19,81.83,4.3068
State Wasteland,Games,2.99,13.99,13,55.89,4.2992
Run Pacific,New,0.99,25.99,10,42.91,4.291
Wars Pluto,Documentary,2.99,15.99,10,42.9,4.29
Vacation Boondock,Sci-Fi,2.99,23.99,21,89.81,4.2767
Jaws Harry,Comedy,2.99,10.99,14,59.87,4.2764
Nemo Campus,Sci-Fi,2.99,23.99,14,59.86,4.2757
Trainspotting Strangers,Comedy,4.99,10.99,11,46.91,4.2645
Bear Graceland,Children,2.99,20.99,22,93.81,4.2641
Anthem Luke,Comedy,4.99,16.99,15,63.89,4.2593
Lost Bird,Foreign,2.99,21.99,12,50.9,4.2417
Window Side,Travel,2.99,25.99,12,50.89,4.2408
Clueless Bucket,Action,2.99,13.99,25,105.77,4.2308
Snatchers Montezuma,Classics,2.99,14.99,9,37.91,4.2122
Basic Easy,Travel,2.99,18.99,21,87.8,4.181
Worst Banger,Action,2.99,26.99,16,66.85,4.1781
Bugsy Song,Foreign,2.99,17.99,11,45.91,4.1736
Ferris Mother,Comedy,2.99,13.99,17,70.85,4.1676
Salute Apollo,New,2.99,29.99,23,95.8,4.1652
Apocalypse Flamingos,New,4.99,11.99,6,24.95,4.1583
Knock Warlock,Comedy,2.99,21.99,24,99.79,4.1579
Bed Highball,Documentary,2.99,23.99,6,24.94,4.1567
Cowboy Doom,Foreign,2.99,10.99,7,28.93,4.1329
Luke Mummy,Animation,2.99,21.99,7,28.93,4.1329
Bingo Talented,Sci-Fi,2.99,22.99,29,119.75,4.1293
Patton Interview,Horror,2.99,22.99,23,94.79,4.1213
Comforts Rush,Travel,2.99,19.99,17,69.85,4.1088
Grail Frankenstein,Action,2.99,17.99,10,40.92,4.092
Jason Trap,Family,2.99,9.99,24,97.77,4.0738
Tomorrow Hustler,Classics,2.99,21.99,25,101.76,4.0704
Samurai Lion,New,2.99,21.99,25,101.76,4.0704
Purple Movie,Foreign,2.99,9.99,13,52.88,4.0677
Turn Star,Animation,2.99,10.99,14,56.88,4.0629
Pulp Beverly,Horror,2.99,12.99,30,121.74,4.058
Idaho Love,New,2.99,25.99,17,68.85,4.05
Hope Tootsie,Classics,2.99,22.99,18,72.83,4.0461
National Story,Documentary,2.99,19.99,19,76.83,4.0437
Hanky October,Sci-Fi,2.99,26.99,26,104.77,4.0296
Hollow Jeopardy,Sci-Fi,4.99,25.99,10,39.92,3.992
Jacket Frisco,Drama,2.99,16.99,18,71.84,3.9911
Rollercoaster Bringing,Horror,2.99,13.99,10,39.91,3.991
Potluck Mixed,Animation,2.99,10.99,11,43.9,3.9909
African Egg,Family,2.99,22.99,12,47.89,3.9908
Manchurian Curtain,Family,2.99,27.99,15,59.86,3.9907
Weekend Personal,Sci-Fi,2.99,26.99,18,71.83,3.9906
Star Operation,Sports,2.99,9.99,21,83.8,3.9905
Trojan Tomorrow,Sci-Fi,2.99,9.99,19,75.82,3.9905
Balloon Homeward,Music,2.99,10.99,23,91.78,3.9904
Analyze Hoosiers,Horror,2.99,19.99,14,55.86,3.99
Mixed Doors,Foreign,2.99,26.99,4,15.96,3.99
Hardly Robbers,Documentary,2.99,15.99,4,15.96,3.99
Cassidy Wyoming,Travel,2.99,19.99,6,23.94,3.99
Squad Fish,Sports,2.99,14.99,7,27.93,3.99
