customer_id,rental_count,avg_rental_duration_days,distinct_categories_rented,favourite_category,most_common_rental_dow
6,28,5.48,13,Drama,3
145,28,4.25,11,Animation,6
559,28,5.56,14,Animation,0
560,28,5.4,13,Action,3
461,28,4.32,12,Sci-Fi,0
504,28,5.98,14,Drama,3
376,28,4.65,13,Classics,6
338,28,4.78,12,Sports,6
374,27,4.0,15,Animation,6
2,27,5.53,13,Sports,5
13,27,4.97,11,Classics,5
14,27,5.04,12,Action,4
36,27,4.59,13,Music,5
40,27,5.54,13,Action,3
45,27,5.27,13,Action,4
59,27,5.56,13,New,4
74,27,5.59,13,Sci-Fi,2
96,27,4.71,13,Documentary,3
116,27,4.49,14,Family,2
133,27,4.76,12,Drama,4
139,27,5.09,13,Action,2
151,27,3.93,13,Action,4
160,27,4.79,14,Documentary,6
163,27,5.16,12,Documentary,3
206,27,5.16,13,New,5
213,27,4.37,12,Family,5
220,27,4.71,13,New,5
280,27,4.42,13,Children,2
286,27,5.68,13,Drama,3
292,27,5.54,12,Drama,5
317,27,5.33,13,Animation,3
331,27,5.11,13,Drama,3
333,27,4.83,14,Games,2
383,27,4.85,11,Animation,3
396,27,5.73,11,Animation,6
407,27,4.97,12,Games,6
426,27,5.24,14,Documentary,6
434,27,5.21,12,Animation,6
441,27,4.31,14,New,0
448,27,6.09,13,Travel,4
471,27,5.15,13,Music,6
491,27,4.63,14,Sci-Fi,5
497,27,4.25,11,Drama,2
498,27,4.92,14,New,3
577,27,5.41,15,Action,4
580,27,4.87,14,Foreign,6
581,27,5.22,12,Foreign,1
591,27,5.61,11,Sports,3
594,27,5.14,12,Sports,4
596,27,4.69,13,Sports,4
31,26,4.67,12,Classics,4
225,26,5.3,15,Drama,0
303,26,4.8,12,Action,4
510,26,5.21,13,Animation,3
202,26,4.89,13,Animation,3
561,26,5.11,12,Animation,1
200,26,5.73,13,Family,4
294,26,5.44,13,Action,6
3,26,5.89,13,Action,5
593,26,5.26,15,Horror,0
551,26,4.74,15,Sci-Fi,4
304,26,5.73,12,Sci-Fi,3
487,26,5.52,13,Action,1
486,26,5.28,13,Children,1
231,26,5.35,13,Animation,5
82,26,6.01,14,Action,3
387,26,4.93,15,Games,4
149,26,5.84,15,Sports,0
261,26,4.87,13,Foreign,3
389,26,5.5,15,Classics,2
285,26,5.32,14,Sci-Fi,2
190,26,5.38,11,Action,5
58,26,4.64,13,Action,4
457,26,5.37,12,Drama,2
357,26,4.72,11,Drama,3
278,26,3.91,12,Comedy,2
385,26,4.67,10,Sci-Fi,1
298,26,4.56,11,Action,5
105,26,5.52,10,Children,5
109,26,5.51,15,Classics,4
421,26,5.42,11,Sci-Fi,6
518,26,4.7,11,Drama,0
445,26,5.05,11,Animation,5
182,26,5.09,13,Games,4
121,26,5.04,14,Action,4
284,26,5.7,12,Horror,5
282,26,5.17,15,Foreign,3
312,26,4.99,13,Action,4
579,26,5.55,13,Sports,6
425,26,5.06,14,Travel,2
423,26,5.66,13,Drama,3
171,26,5.58,11,Children,0
240,26,4.28,12,New,4
170,26,5.63,15,Sci-Fi,4
377,26,5.1,13,Classics,0
433,25,5.17,13,Action,4
343,25,5.67,12,Family,3
419,25,4.62,14,Animation,3
414,25,4.7,13,Travel,3
411,25,4.28,11,Animation,0
384,25,4.87,12,Foreign,3
142,25,5.09,13,Documentary,3
150,25,5.54,14,Sports,5
156,25,4.98,14,Horror,1
10,25,5.98,13,Documentary,2
305,25,4.83,11,Foreign,3
270,25,5.44,16,Children,4
308,25,4.73,13,New,6
572,25,5.05,14,Sports,6
570,25,4.65,12,Documentary,2
24,25,4.49,14,Animation,2
219,25,5.42,14,Family,5
562,25,5.14,14,Foreign,0
546,25,5.0,13,Action,4
44,25,4.76,12,Animation,3
536,25,5.33,13,Music,4
531,25,4.88,13,Sports,4
215,25,3.6,12,Foreign,0
326,25,4.6,13,Horror,1
327,25,5.75,12,Documentary,6
528,25,5.7,13,Comedy,4
517,25,4.67,13,Drama,1
232,25,4.25,13,Sci-Fi,3
63,25,5.57,14,Documentary,4
512,25,5.06,12,Sci-Fi,3
201,25,4.97,14,Animation,4
507,25,4.53,14,Horror,3
422,25,5.74,12,Games,5
495,25,5.0,14,Action,6
235,25,4.15,12,Animation,0
474,25,5.12,13,Family,0
234,25,5.37,13,Classics,2
98,25,4.98,14,Sports,4
463,25,4.95,12,Sci-Fi,6
460,25,4.54,14,Animation,4
456,25,4.76,12,Sci-Fi,3
228,25,3.95,13,Action,6
450,25,5.01,12,Drama,6
111,25,4.96,11,Action,6
435,25,4.34,13,Animation,0
587,25,4.83,13,Documentary,4
83,24,4.57,13,Classics,4
288,24,4.36,13,Sports,3
229,24,4.7,13,Sports,6
324,24,4.59,13,Music,6
330,24,4.61,11,Documentary,0
208,24,5.34,13,Documentary,3
582,24,5.1,13,Sci-Fi,4
199,24,5.14,12,New,6
193,24,4.32,12,Games,4
351,24,5.04,12,Games,2
359,24,5.24,12,Documentary,4
188,24,3.82,12,Drama,4
369,24,3.95,11,Family,3
375,24,5.02,10,Travel,4
382,24,4.14,14,Documentary,5
153,24,4.89,14,Games,6
417,24,4.99,9,Animation,4
130,24,5.16,13,Sci-Fi,2
127,24,5.31,13,Travel,5
427,24,6.23,12,Documentary,3
123,24,5.58,12,New,1
8,24,4.49,12,Classics,1
455,24,4.52,14,Documentary,3
104,24,5.05,13,Action,4
590,24,5.29,11,Sports,6
475,24,5.51,10,Games,5
490,24,4.52,12,Animation,6
597,24,4.67,13,Foreign,3
69,24,5.49,13,Sci-Fi,6
508,24,6.06,14,Action,5
511,24,4.39,11,Action,3
516,24,5.18,15,Documentary,5
537,24,4.58,14,Family,6
540,24,5.45,14,Documentary,3
541,24,5.46,14,Animation,2
553,24,4.85,14,Sci-Fi,0
41,24,5.22,11,Animation,0
34,24,4.11,12,Games,5
564,24,4.9,12,Classics,4
571,24,5.87,13,Sports,4
19,24,5.54,12,Sports,3
264,24,5.22,13,Sci-Fi,2
258,24,5.12,12,Drama,4
243,24,3.96,10,Documentary,4
437,23,5.95,11,Foreign,4
37,23,5.05,11,Comedy,3
557,23,4.89,13,Children,5
11,23,5.54,12,Games,1
93,23,5.12,12,Classics,3
350,23,4.26,12,Music,3
60,23,4.93,14,Action,4
379,23,4.73,13,Comedy,4
249,23,5.78,13,Games,4
547,23,4.2,12,Classics,4
328,23,4.99,13,Games,1
519,23,5.52,13,New,2
85,23,4.14,12,Comedy,0
217,23,4.83,12,Action,0
583,23,5.22,11,Games,3
365,23,4.76,12,Animation,3
364,23,3.83,9,Action,5
409,23,5.75,13,Animation,4
345,23,4.19,12,Horror,4
291,23,5.57,15,Classics,3
432,23,5.72,11,Games,5
585,23,5.88,12,Sports,3
183,23,4.76,13,Sci-Fi,5
246,23,5.15,10,Sci-Fi,3
184,23,4.86,14,Animation,4
106,23,5.13,13,Horror,6
453,23,6.07,14,New,0
185,23,4.38,10,Action,3
62,23,4.79,13,Games,1
134,23,4.39,11,Horror,5
76,23,5.0,11,Drama,6
73,23,4.22,11,Children,3
177,23,4.12,13,Sports,3
527,23,4.65,10,Action,3
534,23,4.94,13,Family,4
227,23,5.6,11,Documentary,3
233,23,4.58,14,Family,5
392,23,5.55,14,Animation,4
341,23,5.79,13,New,3
101,23,5.01,10,Sci-Fi,5
100,23,4.59,12,Animation,3
155,23,4.76,12,Animation,6
311,23,5.72,13,Documentary,4
313,23,5.13,15,Animation,6
466,23,5.98,13,Games,2
99,23,4.41,11,Sports,1
415,23,4.48,14,Sports,6
530,22,4.54,14,Animation,1
335,22,4.53,11,Sci-Fi,2
65,22,5.58,12,Animation,4
514,22,4.13,13,Drama,6
523,22,5.46,12,Classics,3
521,22,5.06,11,Family,4
180,22,5.56,14,Documentary,2
367,22,5.28,12,Children,1
9,22,4.56,10,Foreign,5
18,22,3.99,14,Classics,3
443,22,5.17,13,Animation,2
143,22,4.83,13,Documentary,4
169,22,4.61,12,Drama,6
189,22,5.39,13,Animation,2
352,22,4.69,13,Foreign,0
598,22,5.83,13,Comedy,1
43,22,3.76,11,New,3
175,22,5.24,11,Games,3
430,22,5.11,11,Comedy,3
477,22,5.24,12,Animation,1
431,22,4.91,11,Animation,2
480,22,5.89,14,Classics,6
544,22,5.21,13,Family,5
192,22,5.54,13,Comedy,1
81,22,4.34,10,Horror,4
543,22,5.07,13,Foreign,4
488,22,5.28,13,Drama,4
578,22,5.04,12,Classics,6
224,22,4.75,11,Foreign,3
493,22,5.31,13,Horror,6
79,22,4.63,10,Sci-Fi,1
539,22,6.32,11,Sports,4
247,22,5.29,12,Sci-Fi,4
4,22,3.95,14,Horror,3
321,22,6.37,13,Foreign,4
47,22,5.63,10,Action,4
68,22,4.49,12,Classics,4
55,22,3.97,14,Games,6
67,22,4.93,12,Action,5
325,22,4.23,12,New,3
399,21,5.45,10,Travel,3
174,21,4.63,11,Action,3
17,21,4.93,9,Foreign,4
429,21,4.94,12,Comedy,4
440,21,4.37,13,Drama,1
118,21,5.02,12,Games,5
358,21,4.21,11,Comedy,1
252,21,3.9,12,Documentary,0
476,21,4.83,11,Animation,6
88,21,5.91,13,Family,3
489,21,5.55,8,Family,4
501,21,5.2,12,New,6
216,21,4.4,10,Travel,2
545,21,4.61,11,Family,4
552,21,4.58,13,Classics,4
301,21,4.17,14,Sci-Fi,3
554,21,5.02,11,Animation,6
556,21,5.31,13,Games,4
226,21,5.08,14,Animation,2
22,21,5.43,12,Foreign,5
394,21,4.49,14,Action,4
401,21,3.75,14,Documentary,4
159,21,4.73,10,Action,5
413,21,3.78,12,Children,3
165,21,4.77,12,Classics,5
222,21,6.01,14,Children,2
238,21,4.77,12,Children,4
420,21,4.08,12,Action,0
505,20,5.67,11,Animation,4
567,20,4.45,12,Travel,0
412,20,5.23,9,Action,4
33,20,4.5,13,Animation,4
250,20,4.34,11,Sci-Fi,3
272,20,4.92,10,Documentary,3
509,20,5.09,11,Animation,3
203,20,5.37,10,Action,4
449,20,5.93,13,Horror,4
320,20,3.95,13,Sports,3
496,20,4.45,10,Drama,5
212,20,5.86,9,Children,3
549,20,4.23,11,Games,2
94,20,5.32,13,Family,3
402,20,5.13,13,Drama,0
152,20,4.39,13,Comedy,5
310,20,5.03,10,Comedy,3
428,20,5.05,12,Documentary,6
568,20,4.23,12,Documentary,4
195,19,4.77,11,Drama,4
191,19,4.47,11,Documentary,2
478,19,5.42,10,Action,4
117,19,4.01,11,Action,0
586,19,4.41,12,Drama,3
395,19,3.64,10,Music,3
355,19,4.54,12,Action,2
458,19,5.59,12,Foreign,0
378,19,4.03,12,Comedy,5
370,19,5.2,12,Action,3
162,19,4.03,12,Sports,4
599,19,5.51,11,Comedy,2
524,19,5.05,13,Animation,3
525,18,5.66,8,Family,5
70,18,4.4,11,Sports,2
344,18,5.35,11,Sports,4
483,18,5.69,11,Comedy,0
194,18,4.99,11,Animation,5
542,18,5.94,10,Horror,4
95,18,5.05,11,Action,6
218,18,4.68,12,Comedy,3
97,18,3.58,10,New,5
140,18,5.21,11,Sci-Fi,4
124,18,5.21,13,Documentary,0
205,18,5.45,14,Horror,3
255,18,5.45,11,Animation,3
271,18,5.05,13,Animation,2
353,18,4.65,12,Animation,2
548,18,5.95,10,Foreign,4
555,17,6.12,10,Games,2
48,17,5.91,10,Foreign,3
223,17,4.96,11,Action,6
465,17,4.86,10,Foreign,6
164,16,4.99,11,Children,2
464,16,5.89,10,Action,4
492,16,5.0,10,Travel,3
398,16,5.94,9,Children,5
315,16,6.59,13,Foreign,6
248,15,4.81,9,Sci-Fi,5
136,15,5.07,11,Action,2
61,14,6.02,10,Classics,2
110,14,4.23,9,Animation,6
281,14,5.52,8,Animation,6
318,12,4.94,6,Action,4
