customer_id_payment,G,NC-17,PG,PG-13,R
161,3,8,7,5,1
162,2,2,4,4,5
163,7,4,8,8,2
164,3,7,1,2,2
165,2,4,5,6,3
166,5,5,6,6,5
167,3,5,11,2,8
168,9,1,9,9,4
169,3,7,1,3,6
170,2,5,4,11,1
171,5,4,7,4,5
172,7,2,9,4,8
173,4,3,8,8,4
174,3,4,3,1,8
175,3,5,6,6,4
176,5,1,11,9,6
177,3,4,8,3,5
178,6,11,3,10,9
179,1,5,6,9,5
180,8,4,3,2,5
181,2,6,8,8,9
182,5,7,5,1,6
183,8,1,3,5,5
184,5,2,2,7,4
185,1,3,8,4,4
186,5,8,5,6,5
187,5,4,5,7,6
188,3,5,8,7,2
189,3,3,8,2,5
190,7,4,5,4,5
191,1,2,5,5,5
192,3,4,8,4,3
193,2,7,4,4,6
194,1,5,5,2,3
195,2,7,0,2,8
196,5,5,7,10,4
197,3,6,9,8,6
198,6,4,8,10,4
199,5,6,3,9,1
200,4,5,7,6,4
201,4,9,3,3,3
202,4,7,4,6,5
203,2,4,4,3,6
204,9,4,4,10,4
205,3,4,1,4,6
206,4,3,8,9,3
207,8,9,4,3,4
208,3,3,5,8,6
209,6,3,7,5,8
210,4,10,3,8,5
211,7,4,8,9,5
212,2,3,5,6,4
213,4,5,6,5,7
214,5,7,4,5,5
215,5,6,4,6,3
216,5,3,5,3,6
217,3,5,1,6,6
218,3,5,2,3,5
219,2,5,5,6,7
220,5,6,6,5,3
221,6,4,8,4,5
222,3,3,2,4,4
223,3,2,6,4,1
224,4,3,5,3,7
225,5,7,4,5,3
226,4,5,3,8,1
227,4,1,7,4,6
228,5,5,6,7,2
229,3,5,2,5,10
230,9,9,3,5,5
231,7,7,0,3,6
232,6,2,4,4,7
233,5,3,4,7,4
234,5,6,5,5,4
235,3,5,5,7,3
236,3,7,7,11,11
237,5,5,8,9,4
238,4,5,3,7,0
239,5,7,6,6,4
240,4,7,2,6,4
241,4,3,8,10,7
242,6,5,4,7,7
243,4,6,3,6,4
244,4,10,4,10,2
245,3,3,8,7,5
246,3,5,4,4,2
247,4,4,3,6,2
248,3,5,3,0,2
249,4,4,1,4,6
250,2,2,4,4,3
251,6,4,4,4,7
252,5,5,3,2,5
253,5,6,5,6,4
254,4,7,6,4,9
255,3,8,4,0,3
256,4,7,8,3,3
257,6,8,4,5,11
258,4,6,3,7,4
259,6,9,7,4,4
260,3,9,4,7,7
261,3,4,6,5,4
262,0,7,6,7,7
263,4,4,6,7,6
264,1,8,7,6,3
265,9,8,5,3,3
266,2,8,4,7,5
267,5,8,9,9,2
268,5,2,4,6,4
269,3,6,5,6,1
270,2,5,4,4,4
271,2,4,4,1,5
272,3,4,1,4,1
273,6,1,9,6,6
274,5,8,4,6,4
275,1,6,7,4,7
276,2,8,7,3,3
277,2,5,4,7,6
278,3,3,7,3,5
279,8,6,5,2,3
280,4,2,6,8,3
281,3,1,0,3,3
282,2,3,7,3,5
283,5,5,5,1,7
284,5,2,8,2,5
285,4,2,6,6,5
286,5,3,9,4,3
287,4,5,6,1,6
288,4,6,3,1,5
289,4,4,5,3,8
290,5,5,3,4,5
291,3,5,2,4,3
292,4,2,7,4,5
293,2,5,4,5,5
294,3,4,6,5,5
295,5,10,2,4,7
296,3,5,3,8,4
297,6,5,5,4,6
298,2,3,6,6,4
299,3,3,4,3,8
300,5,5,2,7,7
301,1,4,3,4,3
302,4,6,3,10,3
303,1,4,7,5,2
304,1,4,5,6,3
305,4,7,3,4,2
306,6,3,9,4,6
307,1,4,7,4,4
308,3,5,3,5,3
309,3,6,6,4,6
310,3,5,1,3,1
311,5,3,1,3,3
312,2,4,7,3,4
313,6,4,3,2,1
314,2,11,3,7,6
315,5,2,3,3,1
316,6,2,5,4,2
317,5,7,5,2,5
318,3,1,0,1,2
319,5,3,4,6,3
320,1,3,4,5,2
321,0,1,4,5,7
322,2,5,4,4,4
323,9,3,4,6,3
324,3,6,1,7,5
325,5,0,5,6,2
326,4,2,5,3,4
327,5,7,2,4,1
328,1,3,4,4,5
329,5,5,6,5,2
330,0,7,3,3,5
331,5,6,3,4,4
332,4,7,4,6,5
333,1,6,5,4,6
334,4,5,7,1,8
335,6,2,2,4,8
336,8,4,3,6,1
337,5,3,5,7,4
338,6,4,3,6,1
339,2,6,2,6,8
340,4,6,4,5,4
341,5,4,3,3,7
342,2,7,7,11,5
343,3,6,7,4,3
344,1,2,4,6,3
345,5,5,3,0,8
346,6,8,5,5,6
347,5,6,6,5,8
348,5,9,7,6,7
349,3,7,4,10,4
350,4,4,1,10,2
351,4,3,7,5,4
352,4,6,2,4,6
353,3,1,2,6,5
354,10,8,6,4,5
355,0,3,7,5,4
356,2,7,4,4,12
357,6,2,5,5,5
358,2,7,4,2,5
359,2,4,6,6,4
360,9,9,3,4,7
361,5,4,5,14,1
362,4,6,5,6,10
363,3,2,7,6,10
364,6,5,5,3,3
365,4,8,4,3,2
366,8,8,7,5,8
367,1,6,3,4,6
368,6,6,8,8,3
369,3,3,3,9,3
370,1,4,3,5,6
371,2,5,11,3,8
372,2,7,9,9,5
373,9,7,9,8,1
374,4,5,7,4,5
375,4,1,2,11,2
376,6,6,4,10,1
377,10,6,0,6,4
378,5,2,6,3,2
379,2,5,3,6,5
380,6,5,8,7,9
381,6,6,2,12,6
382,3,6,2,6,5
383,4,4,10,5,2
384,5,6,6,2,2
385,5,3,2,8,6
386,4,3,7,5,9
387,0,4,7,8,3
388,3,7,3,11,4
389,3,9,4,6,3
390,4,7,5,7,8
391,2,4,8,6,5
392,5,9,3,3,3
393,6,6,7,5,5
394,3,6,4,3,4
395,1,4,5,5,4
396,6,2,5,7,6
397,3,11,2,7,5
398,3,4,3,3,2
399,1,3,7,5,2
400,4,2,4,5,9
401,3,7,1,4,4
402,3,6,4,5,1
403,5,5,5,7,11
404,8,8,4,4,5
405,2,11,4,5,8
406,5,9,6,7,4
407,9,4,3,4,6
408,9,5,5,2,6
409,4,5,1,6,6
410,8,12,8,5,5
411,2,10,5,6,1
412,6,2,2,3,4
413,4,3,5,2,5
414,5,4,3,5,6
415,6,3,6,4,3
416,6,10,4,6,2
417,4,7,5,5,1
418,6,6,9,4,5
419,2,7,5,6,4
420,3,5,3,3,6
421,9,5,4,5,2
422,5,5,5,5,5
423,3,4,5,7,7
424,1,7,5,11,5
425,8,5,5,4,3
426,5,4,10,5,2
427,3,1,4,8,7
428,8,4,5,0,2
429,3,1,4,4,4
430,4,5,6,2,3
431,6,5,6,1,4
432,2,3,4,4,7
433,5,1,5,5,7
434,4,7,5,6,4
435,3,7,4,2,7
436,5,7,3,6,6
437,4,5,3,8,0
438,7,5,8,3,7
439,8,5,8,5,7
440,3,2,6,5,5
441,4,9,5,4,5
442,8,1,7,6,7
443,4,3,4,4,6
444,4,8,4,4,8
445,4,4,6,5,5
446,3,5,6,8,6
447,3,5,8,6,5
448,6,8,2,5,6
449,2,4,5,4,2
450,2,8,3,4,8
451,6,5,4,4,11
452,5,8,7,2,7
453,4,2,7,5,5
454,5,7,5,8,7
455,3,3,7,5,4
456,2,6,4,6,6
457,2,11,3,8,3
458,4,5,4,5,1
459,10,4,6,8,9
460,3,6,7,3,2
461,5,5,7,6,4
462,6,2,8,7,8
463,7,6,3,4,4
464,4,2,3,2,3
465,3,3,2,6,2
466,3,3,6,6,4
467,2,6,8,10,2
468,6,4,7,9,8
469,4,9,7,9,6
470,7,8,7,5,4
471,2,6,1,13,4
472,4,5,6,5,6
473,4,7,8,5,7
474,2,2,12,6,3
475,5,8,2,5,2
476,2,5,7,3,3
477,5,5,2,5,4
478,5,3,3,5,3
479,3,3,10,6,7
480,1,4,5,7,2
481,6,5,4,5,8
482,5,5,5,5,6
483,5,4,3,2,3
484,4,4,5,6,8
485,2,8,5,9,4
486,4,3,2,5,9
487,4,1,9,6,6
488,3,5,1,5,8
489,3,5,1,7,3
490,4,4,5,6,3
491,3,6,6,6,4
492,3,5,1,4,2
493,6,2,3,5,6
494,5,5,4,6,10
495,3,6,3,4,8
496,3,1,5,5,5
497,8,3,6,5,5
498,4,7,4,2,7
499,8,6,5,5,5
500,4,3,6,8,4
501,2,2,4,5,6
502,5,8,3,5,9
503,2,4,5,12,5
504,7,6,3,2,7
505,2,3,5,7,2
506,4,5,9,5,5
507,3,5,5,6,4
508,3,7,4,4,5
509,3,1,4,6,4
510,5,3,6,7,2
511,6,4,5,4,3
512,4,5,5,6,6
513,6,6,6,4,8
514,4,5,3,3,6
515,6,7,3,7,3
516,6,7,5,1,5
517,3,8,5,5,3
518,3,5,5,10,2
519,2,6,7,3,4
520,5,7,7,6,6
521,1,4,5,9,4
522,3,7,6,9,7
523,4,4,4,6,2
524,3,2,3,6,3
525,1,3,5,4,5
526,7,10,7,10,8
527,4,5,7,4,4
528,2,4,6,5,3
529,4,8,5,9,2
530,3,3,6,7,3
531,4,4,6,7,2
532,4,6,8,9,4
533,2,12,6,6,4
534,2,3,4,9,4
535,3,4,6,7,8
536,5,4,6,3,5
537,4,5,3,8,4
538,3,1,5,12,6
539,2,7,2,6,3
540,7,2,4,6,5
541,1,5,5,6,5
542,3,2,4,4,3
543,4,3,3,6,4
544,4,1,4,6,5
545,0,11,1,3,4
546,2,6,5,6,5
547,3,5,5,5,2
548,4,6,0,5,1
549,4,2,3,5,2
550,4,8,8,4,7
551,4,6,5,3,3
552,4,3,7,5,1
553,2,2,3,9,7
554,4,4,4,5,3
555,4,4,3,4,2
556,2,5,5,6,0
557,4,3,4,7,4
558,5,4,8,7,4
559,3,5,10,8,2
560,5,4,9,6,5
561,5,2,5,3,10
562,5,3,7,5,2
563,6,5,7,4,5
564,1,3,5,4,9
565,3,6,6,5,7
566,7,3,7,7,8
567,4,4,3,1,8
568,6,4,1,3,7
569,4,3,4,9,7
570,3,7,4,6,5
571,4,6,3,5,4
572,6,5,2,6,5
573,6,6,4,5,7
574,9,4,3,10,1
575,5,3,4,8,4
576,3,7,5,5,12
577,6,4,3,7,6
578,5,4,5,5,2
579,1,7,5,7,7
580,6,4,4,6,6
581,6,6,4,5,4
582,2,7,7,6,2
583,3,7,2,3,8
584,7,4,5,6,5
585,2,7,3,5,7
586,1,6,4,3,3
587,3,6,4,7,4
588,5,4,6,8,4
589,4,5,4,8,4
590,5,5,7,3,4
591,4,4,3,7,9
592,6,4,12,2,5
593,8,2,3,8,3
594,4,4,3,8,4
595,4,4,7,9,5
596,2,5,5,6,4
597,3,4,5,3,8
598,7,0,5,5,5
599,2,5,6,0,5
